fid_,waarneming,euring,soortid,datum,tijdstip,blok,aantal,id_type_wa,aktid,broedcode,jaar,dtkey,overvliege,naam,x,y
117097.0,222006316.0,15080,350,2021-08-04,,FS55C,1,1,3116,14,2021,804,0,Wielewaal,207467.90110000223,190487.03779999912
5339832.0,196969350.0,15080,350,2020-07-24,16:30,FS53B,3,1,3121,12,2020,724,0,Wielewaal,209073.16319999844,171857.02340000123
5386661.0,196904310.0,15080,350,2020-07-23,15:29,FS62B,1,92,25,7,2020,723,0,Wielewaal,220525.85869999975,161782.35330000147
5393014.0,275082730.0,15080,350,2023-06-06,09:21,FS62C,1,416,25,7,2023,606,0,Wielewaal,217109.82169999927,158302.54850000143
5399525.0,278830502.0,15080,350,2023-07-02,10:21,FS63A,1,92,25,7,2023,702,0,Wielewaal,216635.39039999992,173694.27919999883
5401740.0,219556514.0,15080,350,2021-07-10,17:04,FS63A,1,92,3116,14,2021,710,0,Wielewaal,217370.47029999644,171535.5185999982
5401873.0,215716561.0,15080,350,2021-06-02,21:27,FS63A,1,92,25,7,2021,602,0,Wielewaal,217359.59089999646,171381.75070000067
5402633.0,279060463.0,15080,350,2023-07-03,20:03,FS63A,1,92,3116,14,2023,703,0,Wielewaal,217570.08179999888,172737.41209999844
5403329.0,214526828.0,15080,350,2021-05-23,10:15,FS63A,2,92,3117,6,2021,523,0,Wielewaal,217888.60390000045,172042.15249999985
5403663.0,218684414.0,15080,350,2021-07-01,17:04,FS63A,1,92,3116,14,2021,701,0,Wielewaal,217396.0293999985,172638.82770000026
5404688.0,278353372.0,15080,350,2023-06-28,17:35,FS63A,1,92,25,7,2023,628,0,Wielewaal,217999.93029999733,171512.2685999982
5405444.0,249358149.0,15080,350,2022-07-17,09:29,FS63A,3,92,3121,12,2022,717,0,Wielewaal,217296.8849999979,172367.63960000128
5405694.0,219325445.0,15080,350,2021-07-08,11:03,FS63A,1,92,3117,6,2021,708,0,Wielewaal,217691.59080000222,171358.45650000125
5408845.0,194272055.0,15080,350,2020-06-17,11:43,FS63A,1,92,3116,14,2020,617,0,Wielewaal,217990.93519999832,171628.00890000165
5420354.0,216437991.0,15080,350,2021-06-09,07:56,FS63D,1,416,25,7,2021,609,0,Wielewaal,221259.2269999981,167382.41099999845
5699518.0,250526423.0,15080,350,2022-07-27,10:52,FS96A,1,210,25,7,2022,727,0,Wielewaal,245608.99870000035,201428.6325000003
7784332.0,192472682.0,15080,350,2020-05-21,13:11,FS45B,1,92,25,7,2020,521,0,Wielewaal,203208.37870000303,191947.49340000004
7810676.0,253762742.0,15080,350,2022-06-29,19:18,FS54A,1,416,25,7,2022,629,0,Wielewaal,207185.75129999965,181045.23539999872
7890450.0,260320546.0,15080,350,2022-06-29,19:18,FS54A,1,416,25,7,2022,629,0,Wielewaal,207185.75129999965,181045.23539999872
8129486.0,317415253.0,15080,350,2024-06-25,14:56,FS66C,1,92,25,7,2024,625,0,Wielewaal,218295.66130000353,196537.53610000014
8946638.0,248750659.0,15080,350,2022-07-11,11:59,FS43D,2,92,25,7,2022,711,0,Wielewaal,203267.05460000038,169623.84800000116
8958394.0,191498985.0,15080,350,2020-05-16,12:04,FS43D,1,92,25,7,2020,516,0,Wielewaal,200122.53620000184,170961.20050000027
9101101.0,194101896.0,15080,350,2020-06-14,,FS45D,1,1,3116,14,2020,614,0,Wielewaal,199137.21509999782,186251.6363000013
11765015.0,195374692.0,15080,350,2020-07-01,11:31,FS96C,2,1,3121,12,2020,701,0,Wielewaal,245807.93999999762,196175.83419999853
