fid_,waarneming,euring,soortid,datum,tijdstip,blok,aantal,id_type_wa,aktid,broedcode,jaar,dtkey,overvliege,naam,x,y
3384941.0,243307092.0,9740,72,2022-05-28,16:22,FS18C,1,210,3116,14,2022,528,0,Boomleeuwerik,168861.4103000015,220533.15780000016
3390940.0,242987122.0,9740,72,2022-05-26,09:02,FS18C,1,210,3116,14,2022,526,0,Boomleeuwerik,168879.8471999988,220554.93549999967
5626930.0,210044287.0,9740,72,2021-04-04,10:08,FS78C,1,92,25,7,2021,404,0,Boomleeuwerik,225688.10620000213,219665.8253000006
5722550.0,301702817.0,9740,72,2024-03-21,09:46,FS46B,1,210,3118,5,2024,321,0,Boomleeuwerik,199343.33399999887,205085.94289999828
5734594.0,238493539.0,9740,72,2022-04-21,10:25,FS47B,3,92,3121,12,2022,421,0,Boomleeuwerik,199988.9070999995,213427.56109999865
5805340.0,187575782.0,9740,72,2020-04-01,11:01,FS57A,2,92,3117,6,2020,401,0,Boomleeuwerik,206917.7751000002,214362.75349999964
5829792.0,193286949.0,9740,72,2020-05-31,14:51,FS57A,1,1,3116,14,2020,531,0,Boomleeuwerik,206760.6604000032,212206.01469999924
5906528.0,307922770.0,9740,72,2024-05-05,10:16,FS57D,1,210,3116,14,2024,505,0,Boomleeuwerik,212624.03159999847,210399.32409999892
5945654.0,214871786.0,9740,72,2021-05-26,,FS58A,1,1,28,6,2021,526,0,Boomleeuwerik,208681.9900000021,223494.55160000175
5945705.0,303065707.0,9740,72,2024-04-03,,FS58A,1,1,25,7,2024,403,0,Boomleeuwerik,208427.8099000007,223566.86769999936
5945873.0,239585857.0,9740,72,2022-04-30,09:05,FS58A,1,92,3117,6,2022,430,0,Boomleeuwerik,206003.24819999933,222468.86459999904
5946634.0,239109583.0,9740,72,2022-04-26,11:01,FS58A,2,92,3116,14,2022,426,0,Boomleeuwerik,205790.04720000178,221128.72049999982
5947427.0,335284536.0,9740,72,2022-07-14,14:40,FS58A,1,428,3121,12,2022,714,0,Boomleeuwerik,208480.11659999937,223532.3654000014
5947742.0,192363473.0,9740,72,2020-05-25,10:06,FS58B,3,92,3121,12,2020,525,0,Boomleeuwerik,210349.8326999992,221319.95960000157
5947750.0,217754300.0,9740,72,2021-06-15,11:26,FS58B,2,92,3121,12,2021,615,0,Boomleeuwerik,210676.4798000008,221303.83060000092
5947751.0,217754312.0,9740,72,2021-06-15,10:43,FS58B,3,92,3121,12,2021,615,0,Boomleeuwerik,210386.44259999692,221352.2199999988
5960949.0,268280885.0,9740,72,2023-04-19,,FS58C,1,1,3051,13,2023,419,0,Boomleeuwerik,205437.50090000033,218551.31439999864
6017293.0,278589597.0,9740,72,2023-06-23,07:22,FS46A,1,416,3121,12,2023,623,0,Boomleeuwerik,199211.1916999966,205044.44090000167
6019881.0,278587849.0,9740,72,2023-06-09,10:57,FS46A,1,416,3116,14,2023,609,0,Boomleeuwerik,199072.45960000157,204842.93789999932
6041615.0,187903245.0,9740,72,2020-04-05,19:32,FS28B,2,92,3118,5,2020,405,0,Boomleeuwerik,179976.3105000034,222423.98270000145
6041973.0,214967705.0,9740,72,2021-05-27,16:30,FS28B,1,92,25,7,2021,527,0,Boomleeuwerik,180326.06329999864,225646.60920000076
6211610.0,247625971.0,9740,72,2022-06-05,10:18,FS38B,1,92,3116,14,2022,605,0,Boomleeuwerik,194663.0367999971,225796.45149999857
6229602.0,265199478.0,9740,72,2023-03-15,07:20,FS38C,1,92,3118,5,2023,315,0,Boomleeuwerik,188478.03400000185,219400.190200001
6242129.0,187393393.0,9740,72,2020-03-28,15:19,FS38C,1,92,25,7,2020,328,0,Boomleeuwerik,188263.09549999982,218896.0813000016
6247145.0,305506703.0,9740,72,2024-04-18,15:42,FS38C,1,92,3116,14,2024,418,0,Boomleeuwerik,187864.0148999989,218026.47289999947
