fid_,waarneming,euring,soortid,datum,tijdstip,blok,aantal,id_type_wa,aktid,broedcode,jaar,dtkey,overvliege,naam,x,y
3630169.0,190847844.0,8310,37,2020-05-09,08:21,FS17B,1,92,3124,10,2020,509,0,IJsvogel,173616.9645999968,211827.7547999993
5725538.0,217904522.0,8310,37,2021-06-23,10:53,FS46B,2,92,25,7,2021,623,0,IJsvogel,203636.55380000174,204429.8253000006
5726568.0,209290548.0,8310,37,2021-03-24,16:30,FS46B,2,1,3117,6,2021,324,0,IJsvogel,204214.09700000286,204690.1218000017
5733876.0,188919585.0,8310,37,2020-04-17,14:09,FS47B,1,92,25,7,2020,417,0,IJsvogel,199533.9523999989,212424.1004000008
5735385.0,279258250.0,8310,37,2023-07-05,16:40,FS47B,1,1,25,7,2023,705,0,IJsvogel,204412.78230000287,212314.94289999828
5741646.0,244310049.0,8310,37,2022-06-05,08:24,FS47D,1,92,3116,14,2022,605,0,IJsvogel,200798.27120000124,207397.63210000098
5742516.0,193757188.0,8310,37,2020-06-11,09:44,FS47D,1,92,3117,6,2020,611,0,IJsvogel,200797.40410000086,207394.22830000147
5743572.0,189818147.0,8310,37,2020-04-27,10:17,FS47D,1,92,3117,6,2020,427,0,IJsvogel,200751.23480000347,207457.01429999992
5767967.0,236967255.0,8310,37,2022-04-06,16:56,FS56A,1,92,3051,13,2022,406,0,IJsvogel,205997.7146999985,204483.6202000007
5800892.0,206811264.0,8310,37,2021-02-04,11:45,FS57A,1,1,25,7,2021,204,0,IJsvogel,204653.4675000012,213698.85339999944
5802601.0,193033793.0,8310,37,2020-06-01,16:46,FS57A,2,92,3121,12,2020,601,0,IJsvogel,208053.97200000286,214919.90680000186
5806854.0,214578554.0,8310,37,2021-05-23,08:41,FS57A,1,92,25,7,2021,523,0,IJsvogel,207664.1802000031,214264.0502000004
5808051.0,309867622.0,8310,37,2024-05-16,12:56,FS57A,1,92,3116,14,2024,516,0,IJsvogel,208644.36680000275,213114.23099999875
5809688.0,300529900.0,8310,37,2024-03-09,16:34,FS57A,2,210,3118,5,2024,309,0,IJsvogel,206831.52549999952,212822.1152999997
5812328.0,195748946.0,8310,37,2020-07-07,,FS57A,2,1,3116,14,2020,707,0,IJsvogel,204864.1630000025,214171.15960000083
5820920.0,206813760.0,8310,37,2021-02-04,16:30,FS57A,1,1,25,7,2021,204,0,IJsvogel,206522.79569999874,213710.34010000154
5829060.0,192873463.0,8310,37,2020-05-31,11:53,FS57A,1,92,3119,9,2020,531,0,IJsvogel,207133.9408000037,214666.4791000001
5890965.0,303997804.0,8310,37,2024-04-08,13:21,FS57D,1,92,3051,13,2024,408,0,IJsvogel,211783.83309999853,207460.33150000125
5898445.0,274428682.0,8310,37,2023-06-01,12:08,FS57D,1,92,3051,13,2023,601,0,IJsvogel,209703.63799999654,206727.23950000107
5905216.0,273047530.0,8310,37,2023-05-23,13:18,FS57D,1,92,3115,16,2023,523,0,IJsvogel,211865.37629999965,207434.1886
5941515.0,238521366.0,8310,37,2022-04-21,14:04,FS57D,2,92,3051,13,2022,421,0,IJsvogel,211762.8422999978,207511.0612999983
5948739.0,305574819.0,8310,37,2024-04-19,11:20,FS58C,1,92,3116,14,2024,419,0,IJsvogel,204805.08609999716,219899.20560000092
5949113.0,192688041.0,8310,37,2020-05-28,12:32,FS58C,1,92,3051,13,2020,528,0,IJsvogel,209323.93310000002,219990.624499999
5949905.0,240503837.0,8310,37,2022-05-06,10:50,FS58C,1,92,3114,15,2022,506,0,IJsvogel,204807.98589999974,217981.63269999996
5951065.0,186586091.0,8310,37,2020-03-12,13:25,FS58C,1,1,3117,6,2020,312,0,IJsvogel,205054.5,217202.2916000001
5953757.0,269195193.0,8310,37,2023-04-27,12:50,FS58C,2,1,3051,13,2023,427,0,IJsvogel,205501.4055000022,218894.85029999912
