wn_id;unieke_id;naam_nl;naam_lat;datum;maand;invoerdatum;aantal;gedrag;methode;kleed;geslacht;x;y;lon;lat;utm1;gebied;gemeente;deelgemeente;provincie;typewaarneming;zeker;status;embargo_datum;toestemming_wnr;bijzonderheden;precisie;soortgroep;familie;aanleverdatum;id_species;id_species_type;zeldzaamheid
213368115;213368115;Boomleeuwerik;Lullula arborea;2021-12-05;5;12/05/2021;1;baltsend / zingend;gezien en gehoord;onbekend;onbekend;225051.43552036287;182158.894369076;5.43670082092285;50.9448547363281;FS7146;Genk - De Maten - De Maten - West;Diepenbeek;Diepenbeek;Limburg;ObsMapp;J;Goedgekeurd op basis van kennisregels - nabijheid;1/01/2007;1;;5.0;Vogels;Alaudidae;2/06/2026;72;S;vrij algemeen
212949381;212949381;Boomleeuwerik;Lullula arborea;2021-08-05;5;8/05/2021;1;transport voedsel of ontlasting;onbekend;onbekend;onbekend;224820.70026798703;181980.2990893973;5.4333815574646;50.9432792663574;FS7046;Genk - De Maten - De Maten - West;Diepenbeek;Diepenbeek;Limburg;ObsMapp;J;Goedgekeurd op basis van kennisregels - nabijheid;1/01/2007;1;;6.0;Vogels;Alaudidae;2/06/2026;72;S;vrij algemeen
75747119;75747119;Boomleeuwerik;Lullula arborea;2013-05-05;5;5/05/2013;1;ter plaatse;onbekend;onbekend;onbekend;226745.8543575573;183582.247935188;5.461106300354;50.957426539931;FS7247;Genk - De Maten - De Maten-Oost;Genk;Genk;Limburg;Site;J;Goedgekeurd op basis van kennisregels - nabijheid;1/01/1980;1;;500.0;Vogels;Alaudidae;2/06/2026;72;S;vrij algemeen
162255747;162255747;Boomleeuwerik;Lullula arborea;2018-08-09;9;8/09/2018;6;ter plaatse;onbekend;onbekend;onbekend;177694.0818561254;218244.3495959863;4.76560011506524;51.273408103782;FS2381;Oostmalle/Zoersel - Vliegveld (Niet toegankelijk);Malle;Oostmalle;Antwerpen;iObs;J;Goedgekeurd op basis van kennisregels - nabijheid;1/01/2007;1;;10.0;Vogels;Alaudidae;2/06/2026;72;S;vrij algemeen
173948098;173948098;Boomleeuwerik;Lullula arborea;2019-07-06;6;7/06/2019;2;ter plaatse;onbekend;onbekend;onbekend;181154.498993548;219245.12572374757;4.815271357078864;51.2822262011946;FS2682;Lille - Visbeekvallei - Visbeekhei;Lille;Wechelderzande;Antwerpen;iObs;J;Goedgekeurd op basis van kennisregels - nabijheid;1/01/2007;1;;5.0;Vogels;Alaudidae;2/06/2026;72;S;vrij algemeen
173948089;173948089;Boomleeuwerik;Lullula arborea;2019-07-06;6;7/06/2019;1;baltsend / zingend;onbekend;onbekend;onbekend;181449.23545078817;219210.72100312728;4.819492483516055;51.281900941442025;FS2682;Gemeentebossen Lille - Bersegem;Lille;Lille;Antwerpen;iObs;J;Goedgekeurd op basis van kennisregels - nabijheid;1/01/2007;1;;5.0;Vogels;Alaudidae;2/06/2026;72;S;vrij algemeen
68340746;68340746;Boomleeuwerik;Lullula arborea;2012-12-05;5;12/05/2012;1;baltsend / zingend;onbekend;onbekend;onbekend;190686.2197399461;229485.13415669184;4.95303326;51.37366572;FS3593;Turnhouts Vennengebied;Turnhout;Turnhout;Antwerpen;mobile pages;J;Goedgekeurd op basis van expertoordeel;1/01/1980;1;;6.0;Vogels;Alaudidae;2/06/2026;72;S;vrij algemeen
190374564;190374564;Boomleeuwerik;Lullula arborea;2020-03-05;5;4/05/2020;1;baltsend / zingend;onbekend;onbekend;onbekend;181378.29805918835;218216.2471638145;4.81838938755805;51.27296646307022;FS2681;Lille - Gemeentebossen;Lille;Lille;Antwerpen;iObs;J;Goedgekeurd op basis van kennisregels - nabijheid;1/01/2007;1;;5.0;Vogels;Alaudidae;2/06/2026;72;S;vrij algemeen
66972618;66972618;Boomleeuwerik;Lullula arborea;2012-01-05;5;1/05/2012;1;baltsend / zingend;onbekend;onbekend;onbekend;177802.8385715055;218412.1910014879;4.76717144;51.27491143;FS2381;Oostmalle/Zoersel - Vliegveld (Niet toegankelijk);Malle;Oostmalle;Antwerpen;mobile pages;J;Goedgekeurd op basis van expertoordeel;1/01/1980;1;;7.0;Vogels;Alaudidae;2/06/2026;72;S;vrij algemeen
123517020;123517020;Boomleeuwerik;Lullula arborea;2016-10-09;9;11/09/2016;4;ter plaatse;onbekend;onbekend;onbekend;177918.2328464366;218088.89086870104;4.7688;51.272;FS2381;Oostmalle/Zoersel - Vliegveld (Niet toegankelijk);Malle;Oostmalle;Antwerpen;iObs;J;Goedgekeurd op basis van expertoordeel;1/01/2007;1;;30.0;Vogels;Alaudidae;2/06/2026;72;S;vrij algemeen
155726200;155726200;Boomleeuwerik;Lullula arborea;2018-02-05;5;2/05/2018;1;transport voedsel of ontlasting;onbekend;adult;onbekend;177246.6628664392;217492.6267552953;4.75913221948292;51.2666729093075;FS2280;Oostmalle/Zoersel - Vliegveld (Niet toegankelijk);Malle;Oostmalle;Antwerpen;iObs;J;Goedgekeurd op basis van kennisregels - nabijheid;1/01/2007;1;;30.0;Vogels;Alaudidae;2/06/2026;72;S;vrij algemeen
215847105;215847105;Boomleeuwerik;Lullula arborea;2021-04-06;6;4/06/2021;2;ter plaatse;onbekend;onbekend;onbekend;177734.61937700008;218298.7986049652;4.766185169063236;51.27389554318643;FS2381;Oostmalle/Zoersel - Vliegveld (Niet toegankelijk);Malle;Oostmalle;Antwerpen;iObs;J;Goedgekeurd op basis van kennisregels - nabijheid;1/01/2007;1;;5.0;Vogels;Alaudidae;2/06/2026;72;S;vrij algemeen
54039730;54039730;Boomleeuwerik;Lullula arborea;2011-04-05;5;4/05/2011;2;ter plaatse;onbekend;juveniel;onbekend;177332.62596549004;217821.36013205536;4.76038871;51.26962352;FS2281;Oostmalle/Zoersel - Vliegveld (Niet toegankelijk);Malle;Oostmalle;Antwerpen;mobile pages;J;Goedgekeurd op basis van expertoordeel;1/01/1980;1;;5.0;Vogels;Alaudidae;2/06/2026;72;S;vrij algemeen
95233434;95233434;Boomleeuwerik;Lullula arborea;2014-09-11;11;9/11/2014;4;overvliegend zuidwest;onbekend;onbekend;onbekend;177833.1707558836;218333.201382298;4.7676;51.2742;FS2381;Oostmalle/Zoersel - Vliegveld (Niet toegankelijk);Malle;Oostmalle;Antwerpen;iObs;J;Goedgekeurd op basis van expertoordeel;1/01/2007;1;;65.0;Vogels;Alaudidae;2/06/2026;72;S;vrij algemeen
143587386;143587386;Boomleeuwerik;Lullula arborea;2017-02-09;9;2/09/2017;5;ter plaatse;onbekend;onbekend;onbekend;177279.12001265737;217529.1893291548;4.7596;51.267;FS2280;Oostmalle/Zoersel - Vliegveld (Niet toegankelijk);Malle;Oostmalle;Antwerpen;iObs;J;Goedgekeurd op basis van kennisregels - nabijheid;1/01/2007;1;;10.0;Vogels;Alaudidae;2/06/2026;72;S;vrij algemeen
95233446;95233446;Boomleeuwerik;Lullula arborea;2014-09-11;11;9/11/2014;11;overvliegend zuidwest;onbekend;onbekend;onbekend;177833.1707558836;218333.201382298;4.7676;51.2742;FS2381;Oostmalle/Zoersel - Vliegveld (Niet toegankelijk);Malle;Oostmalle;Antwerpen;iObs;J;Goedgekeurd op basis van expertoordeel;1/01/2007;1;;65.0;Vogels;Alaudidae;2/06/2026;72;S;vrij algemeen
155726211;155726211;Boomleeuwerik;Lullula arborea;2018-02-05;5;2/05/2018;3;ter plaatse;onbekend;onbekend;onbekend;177405.25497221109;218078.9282505503;4.7614488937005;51.2719351100282;FS2281;Oostmalle/Zoersel - Vliegveld (Niet toegankelijk);Malle;Oostmalle;Antwerpen;iObs;J;Goedgekeurd op basis van kennisregels - nabijheid;1/01/2007;1;;10.0;Vogels;Alaudidae;2/06/2026;72;S;vrij algemeen
