wn_id;unieke_id;naam_nl;naam_lat;datum;maand;invoerdatum;aantal;gedrag;methode;kleed;geslacht;x;y;lon;lat;utm1;gebied;gemeente;deelgemeente;provincie;typewaarneming;zeker;status;embargo_datum;toestemming_wnr;bijzonderheden;precisie;soortgroep;familie;aanleverdatum;id_species;id_species_type;zeldzaamheid
287157314;287157314;Gele luzernevlinder;Colias hyale;2023-09-07;9;2023-09-07;5;ter plaatse;onbekend;imago;onbekend;200584.40388025023;185403.9045897238;5.089021682739258;50.9766731262207;FS4649;Gennep - Snippenweide - Rotbroek;Halen;Zelem;Limburg;ObsMapp;J;Goedgekeurd op basis van bewijsmateriaal;1980-01-01;3;;4;Dagvlinders;Pieridae;2026-07-08;725;S;vrij algemeen
361744281;361744281;Gele luzernevlinder;Colias hyale;2025-07-09;7;2025-07-09;1;foeragerend;gezien;imago;Man;163278.98844288505;201386.70573789533;4.558421372930752;51.12239768692985;FS0964;Beneden Netevallei - GGG Pallieterpolder;Lier;Lier;Antwerpen;Site;J;Goedgekeurd op basis van bewijsmateriaal;1980-01-01;3;;7;Dagvlinders;Pieridae;2026-07-08;725;S;vrij algemeen
374657535;374657535;Gele luzernevlinder;Colias hyale;2025-09-30;9;2025-10-01;1;ter plaatse;onbekend;imago;Man;211926.8023694747;207335.1154478565;5.254238128662109;51.17269515991211;FS5771;Balen - De Most;Balen;Balen;Antwerpen;ObsMapp;J;Goedgekeurd op basis van kennisregels - nabijheid;1980-01-01;3;;3;Dagvlinders;Pieridae;2026-07-08;725;S;vrij algemeen
372008884;372008884;Gele luzernevlinder;Colias hyale;2025-09-07;9;2025-09-07;1;ter plaatse;onbekend;imago;onbekend;211972.66029413545;207452.3799290927;5.254913806915283;51.17374420166016;FS5771;Balen - De Most;Balen;Balen;Antwerpen;ObsMapp;J;Goedgekeurd op basis van kennisregels - nabijheid;1980-01-01;3;;4;Dagvlinders;Pieridae;2026-07-08;725;S;vrij algemeen
372426751;372426751;Gele luzernevlinder;Colias hyale;2025-09-10;9;2025-09-11;1;ter plaatse;onbekend;imago;onbekend;210897.1484547037;207457.8954720162;5.239537239074707;51.17390823364258;FS5671;Balen - De Most;Balen;Balen;Antwerpen;ObsMapp;J;Goedgekeurd op basis van kennisregels - nabijheid;1980-01-01;3;;3;Dagvlinders;Pieridae;2026-07-08;725;S;vrij algemeen
372008616;372008616;Gele luzernevlinder;Colias hyale;2025-09-07;9;2025-09-07;1;ter plaatse;onbekend;imago;onbekend;211691.58157258196;207561.92738788572;5.250913619995117;51.17475891113281;FS5771;Balen - De Most;Balen;Balen;Antwerpen;ObsMapp;J;Goedgekeurd op basis van kennisregels - nabijheid;1980-01-01;3;;10;Dagvlinders;Pieridae;2026-07-08;725;S;vrij algemeen
371764190;371764190;Gele luzernevlinder;Colias hyale;2025-09-05;9;2025-09-05;1;ter plaatse;onbekend;imago;onbekend;211891.16727578503;207683.14351664484;5.253787994384766;51.17582702636719;FS5771;Balen - De Most;Balen;Balen;Antwerpen;ObsMapp;J;Goedgekeurd op basis van kennisregels - nabijheid;1980-01-01;3;;6;Dagvlinders;Pieridae;2026-07-08;725;S;vrij algemeen
369593639;369593639;Gele luzernevlinder;Colias hyale;2025-08-20;8;2025-08-20;1;ter plaatse;onbekend;imago;onbekend;211758.7130700065;207606.866275358;5.251881122589111;51.17515563964844;FS5771;Balen - De Most;Balen;Balen;Antwerpen;ObsMapp;J;Goedgekeurd op basis van kennisregels - nabijheid;1980-01-01;3;;3;Dagvlinders;Pieridae;2026-07-08;725;S;vrij algemeen
252855302;252855302;Gele luzernevlinder;Colias hyale;2022-08-20;8;2022-08-20;1;foeragerend;onbekend;imago;onbekend;162798.71111107882;200691.32704301455;4.551537;51.116158;FS0863;Beneden Netevallei - Anderstad;Lier;Lier;Antwerpen;Site;J;Goedgekeurd op basis van bewijsmateriaal;1980-01-01;3;;7;Dagvlinders;Pieridae;2026-07-08;725;S;vrij algemeen
368406999;368406999;Gele luzernevlinder;Colias hyale;2025-08-13;8;2025-08-13;1;ter plaatse;onbekend;imago;Man;228410.88513954083;186609.0329148956;5.485450029373169;50.98440907734273;FS7451;Genk - Terril Winterslag;Genk;Genk;Limburg;Site;J;Goedgekeurd op basis van kennisregels - nabijheid;1980-01-01;3;;8;Dagvlinders;Pieridae;2026-07-08;725;S;vrij algemeen
370706097;370706097;Gele luzernevlinder;Colias hyale;2025-08-26;8;2025-08-27;1;ter plaatse;onbekend;imago;Man;223559.30309021616;180463.2624791097;5.415131091940566;50.92980486531255;FS6944;Diepenbeek - De Dijken;Diepenbeek;Diepenbeek;Limburg;Site;J;Goedgekeurd op basis van bewijsmateriaal;1980-01-01;3;;15;Dagvlinders;Pieridae;2026-07-08;725;S;vrij algemeen
394494188;394494188;Gele luzernevlinder;Colias hyale;2026-04-24;4;2026-04-25;3;ter plaatse;onbekend;imago;onbekend;227820.92063693775;186570.2506963564;5.477040999999986;50.98414;FS7350;Genk - Terril Winterslag;Genk;Genk;Limburg;Site;J;Goedgekeurd op basis van bewijsmateriaal;1980-01-01;3;;15;Dagvlinders;Pieridae;2026-07-08;725;S;vrij algemeen
287465591;287465591;Gele luzernevlinder;Colias hyale;2023-09-09;9;2023-09-09;4;ter plaatse;onbekend;imago;onbekend;139437.58495851076;217142.09939248025;4.217434883117676;51.26407241821289;ES8479;Verrebroek - Verrebroekse Plassen (VEPL);Beveren;Kallo;Oost-Vlaanderen;ObsMapp;J;Goedgekeurd op basis van bewijsmateriaal;1980-01-01;3;;5;Dagvlinders;Pieridae;2026-07-08;725;S;vrij algemeen
370194007;370194007;Gele luzernevlinder;Colias hyale;2025-08-24;8;2025-08-24;1;ter plaatse;onbekend;imago;onbekend;228156.24728106905;186507.6199136088;5.481802463531494;50.9835319519043;FS7450;Genk - Terril Winterslag;Genk;Genk;Limburg;ObsMapp;J;Goedgekeurd op basis van bewijsmateriaal;1980-01-01;3;;5;Dagvlinders;Pieridae;2026-07-08;725;S;vrij algemeen
360792431;360792431;Gele luzernevlinder;Colias hyale;2025-07-04;7;2025-07-04;1;foeragerend;gezien;imago;onbekend;182347.3148251772;190129.723056878;4.829771995544434;51.02045822143555;FS2853;  ;Herselt;Ramsel;Antwerpen;ObsMapp;J;Goedgekeurd op basis van bewijsmateriaal;1980-01-01;3;;1;Dagvlinders;Pieridae;2026-07-08;725;S;vrij algemeen
363875258;363875258;Gele luzernevlinder;Colias hyale;2025-07-19;7;2025-07-19;1;ter plaatse;gezien;imago;onbekend;182360.9784842169;190143.8125846824;4.829967975616455;51.02058410644531;FS2853;  ;Herselt;Ramsel;Antwerpen;ObsMapp;J;Goedgekeurd op basis van kennisregels - nabijheid;1980-01-01;3;;3;Dagvlinders;Pieridae;2026-07-08;725;S;vrij algemeen
369274076;369274076;Gele luzernevlinder;Colias hyale;2025-08-18;8;2025-08-18;2;ter plaatse;gezien;imago;onbekend;182462.5929739538;190138.0799737284;4.83141565322876;51.02052688598633;FS2853;  ;Herselt;Ramsel;Antwerpen;ObsMapp;J;Goedgekeurd op basis van bewijsmateriaal;1980-01-01;3;;2;Dagvlinders;Pieridae;2026-07-08;725;S;vrij algemeen
294848436;294848436;Gele luzernevlinder;Colias hyale;2023-09-27;9;2023-12-19;1;ter plaatse;onbekend;imago;onbekend;205513.70743601728;183881.2548494907;5.158973695943132;50.96253535995493;FS5147;Schulensbroek - Binnenbekken Oost;Herk-de-Stad;Schulen;Limburg;Site;J;Goedgekeurd op basis van bewijsmateriaal;1980-01-01;3;;30;Dagvlinders;Pieridae;2026-07-08;725;S;vrij algemeen
287825422;287825422;Gele luzernevlinder;Colias hyale;2022-08-29;8;2023-09-13;1;ter plaatse;onbekend;imago;Man;179753.2845413178;181671.2312486721;4.79211399999997;50.944564;FS2545;  ;Holsbeek;Nieuwrode;Vlaams-Brabant;Site;J;Goedgekeurd op basis van bewijsmateriaal;1980-01-01;3;;8;Dagvlinders;Pieridae;2026-07-08;725;S;vrij algemeen
369084023;369084023;Gele luzernevlinder;Colias hyale;2025-08-17;8;2025-08-17;2;ter plaatse;gezien;imago;onbekend;182481.5570146001;190128.43759766035;4.8316850662231445;51.02043914794922;FS2853;  ;Herselt;Ramsel;Antwerpen;ObsMapp;J;Goedgekeurd op basis van bewijsmateriaal;1980-01-01;3;;6;Dagvlinders;Pieridae;2026-07-08;725;S;vrij algemeen
