wn_id;unieke_id;naam_nl;naam_lat;datum;maand;invoerdatum;aantal;gedrag;methode;kleed;geslacht;x;y;lon;lat;utm1;gebied;gemeente;deelgemeente;provincie;typewaarneming;zeker;status;embargo_datum;toestemming_wnr;bijzonderheden;precisie;soortgroep;familie;aanleverdatum;id_species;id_species_type;zeldzaamheid
42465291;42465291;Zwartkopmeeuw;Ichthyaetus melanocephalus;2009-11-04;4;11/04/2009;2;ter plaatse;onbekend;onbekend;onbekend;196763.8169997904;225638.9514787998;5.03980636597;51.3386356531;FS4289;Landschap De Liereman - Brakeleer;Arendonk;Arendonk;Antwerpen;Site;J;Goedgekeurd op basis van expertoordeel;1/01/1980;1;;999.0;Vogels;Laridae;2/06/2026;363;S;vrij algemeen
83233269;83233269;Zwartkopmeeuw;Ichthyaetus melanocephalus;2014-10-04;4;11/04/2014;4;overvliegend zuidoost;onbekend;onbekend;onbekend;169473.24911586198;208070.4420026336;4.6472530066967;51.1822989536449;FS1571;Kleine Netevallei - Viersels Gebroekt;Zandhoven;Viersel;Antwerpen;ObsMapp;J;Goedgekeurd op basis van expertoordeel;1/01/2007;1;;10.0;Vogels;Laridae;2/06/2026;363;S;vrij algemeen
83233267;83233267;Zwartkopmeeuw;Ichthyaetus melanocephalus;2014-10-04;4;11/04/2014;12;ter plaatse;onbekend;onbekend;onbekend;169473.1665897378;208089.2739014896;4.64725283905864;51.1824682261795;FS1571;Kleine Netevallei - Viersels Gebroekt;Zandhoven;Viersel;Antwerpen;ObsMapp;J;Goedgekeurd op basis van expertoordeel;1/01/2007;1;;10.0;Vogels;Laridae;2/06/2026;363;S;vrij algemeen
40034510;40034510;Zwartkopmeeuw;Ichthyaetus melanocephalus;2008-07-06;6;7/06/2008;3;overvliegend noordwest;onbekend;adult;onbekend;154518.83353961495;210414.8857473396;4.4334125518799;51.203683742628;FS0073;  ;Antwerpen;Berchem;Antwerpen;Site;J;Goedgekeurd op basis van expertoordeel;1/01/1980;1;;100.0;Vogels;Laridae;2/06/2026;363;S;vrij algemeen
136366635;136366635;Zwartkopmeeuw;Ichthyaetus melanocephalus;2017-06-04;4;6/04/2017;2;roepend;onbekend;onbekend;onbekend;161103.40610044927;234514.4160876833;4.52836878597736;51.4202014322623;FS0697;Kalmthout - Hanneke Wiewau;Kalmthout;Kalmthout;Antwerpen;ObsMapp;J;Goedgekeurd op basis van kennisregels - nabijheid;6/04/2020;1;;25.0;Vogels;Laridae;2/06/2026;363;S;vrij algemeen
136366601;136366601;Zwartkopmeeuw;Ichthyaetus melanocephalus;2017-06-04;4;6/04/2017;9;ter plaatse;onbekend;onbekend;onbekend;160679.98591798835;234265.1102881208;4.52227480709553;51.4179688264443;FS0597;Kalmthout - Marijnenvennen;Kalmthout;Kalmthout;Antwerpen;ObsMapp;J;Goedgekeurd op basis van kennisregels - nabijheid;6/04/2020;1;;25.0;Vogels;Laridae;2/06/2026;363;S;vrij algemeen
188824822;188824822;Zwartkopmeeuw;Ichthyaetus melanocephalus;2020-12-04;4;16/04/2020;50;ter plaatse;gezien;onbekend;onbekend;146132.5949199244;203068.509682918;4.313499490537004;51.13765582012629;ES9165;Bazel - Bazelse polder - zuid (BAPO-Z);Kruibeke;Bazel;Oost-Vlaanderen;iObs;J;Goedgekeurd op basis van kennisregels - nabijheid;1/01/2007;1;;15.0;Vogels;Laridae;2/06/2026;363;S;vrij algemeen
113609757;113609757;Zwartkopmeeuw;Ichthyaetus melanocephalus;2016-02-01;1;2/01/2016;1;ter plaatse;onbekend;adult winterkleed;onbekend;172807.27871098276;225247.1735450625;4.69601891935;51.3365638843;FS1888;Sint-Lenaerts - Stort;Brecht;Sint-Lenaarts;Antwerpen;Site;J;Goedgekeurd op basis van expertoordeel;1/01/1980;1;;10.0;Vogels;Laridae;2/06/2026;363;S;vrij algemeen
142454092;142454092;Zwartkopmeeuw;Ichthyaetus melanocephalus;2000-07-06;6;5/08/2017;1;overvliegend;onbekend;onbekend;onbekend;154514.9565864759;232376.83388415072;4.4336345;51.40107962;ES9995;Grenspark De Zoom/Kalmthoutse Heide - Keetheuvel;Kalmthout;Kalmthout;Antwerpen;Site;J;Goedgekeurd op basis van expertoordeel;1/01/1980;1;;10.0;Vogels;Laridae;2/06/2026;363;S;vrij algemeen
118706823;118706823;Zwartkopmeeuw;Ichthyaetus melanocephalus;1997-10-04;4;15/05/2016;40;ter plaatse;onbekend;onbekend;onbekend;175086.06626891447;223560.0905266609;4.7285990417004;51.321305606294;FS2086;Oostmalle - Wouwers;Malle;Oostmalle;Antwerpen;Site;J;Goedgekeurd op basis van expertoordeel;1/01/1980;1;;751.0;Vogels;Laridae;2/06/2026;363;S;vrij algemeen
116078430;116078430;Zwartkopmeeuw;Ichthyaetus melanocephalus;2016-03-04;4;3/04/2016;5;overvliegend;onbekend;onbekend;onbekend;174831.78428911045;217709.38348804973;4.72454872;51.2687304;FS2081;Zoersel - Vallei van de Delfte beek;Zoersel;Zoersel;Antwerpen;ObsMapp;J;Goedgekeurd op basis van expertoordeel;1/01/2007;1;;25.0;Vogels;Laridae;2/06/2026;363;S;vrij algemeen
193666156;193666156;Zwartkopmeeuw;Ichthyaetus melanocephalus;2020-04-04;4;9/06/2020;50;ter plaatse;onbekend;onbekend;onbekend;160877.09208421;204409.07323712017;4.52420566231012;51.1496150708085;FS0667;  ;Boechout;Boechout;Antwerpen;ObsMapp;J;Goedgekeurd op basis van kennisregels - nabijheid;1/01/2007;1;;25.0;Vogels;Laridae;2/06/2026;363;S;vrij algemeen
115952711;115952711;Zwartkopmeeuw;Ichthyaetus melanocephalus;2016-01-04;4;1/04/2016;5;ter plaatse;onbekend;adult zomerkleed;onbekend;162697.90526849104;200547.25592408425;4.5500923320651;51.114865215344;FS0863;Beneden Netevallei - Anderstad;Lier;Lier;Antwerpen;Site;J;Goedgekeurd op basis van expertoordeel;1/01/1980;1;;10.0;Vogels;Laridae;2/06/2026;363;S;vrij algemeen
355469037;355469037;Zwartkopmeeuw;Ichthyaetus melanocephalus;2025-01-06;6;9/06/2025;10;foeragerend;onbekend;adult;onbekend;152434.0242172957;236153.90062451456;4.403760060667992;51.43503927952379;ES9799;Essen - Hoek;Essen;Essen;Antwerpen;ObsMapp;J;Goedgekeurd op basis van kennisregels - nabijheid;1/01/1980;1;;5.0;Vogels;Laridae;2/06/2026;363;S;vrij algemeen
211251279;211251279;Zwartkopmeeuw;Ichthyaetus melanocephalus;2021-12-04;4;20/04/2021;2;foeragerend;onbekend;adult zomerkleed;onbekend;203799.7809623262;174870.69195270538;5.13325653970242;50.8817024343349;FS5038;Aronst Hoek - Kasteel Terlenen;Geetbets;Grazen;Vlaams-Brabant;ObsMapp;J;Goedgekeurd op basis van kennisregels - nabijheid;1/01/2007;1;;5.0;Vogels;Laridae;2/06/2026;363;S;vrij algemeen
