wn_id;unieke_id;naam_nl;naam_lat;datum;maand;invoerdatum;aantal;gedrag;methode;kleed;geslacht;x;y;lon;lat;utm1;gebied;gemeente;deelgemeente;provincie;typewaarneming;zeker;status;embargo_datum;toestemming_wnr;bijzonderheden;precisie;soortgroep;familie;aanleverdatum;id_species;id_species_type;zeldzaamheid
122128996;122128996;Bevertjes;Briza media;;7;4/08/2016;1;ter plaatse;onbekend;onbekend;onbekend;223757.1694170459;205697.31814108137;5.423045;51.156585;FS6970;Eksel - Neerhoksent - Dommelvallei;Hechtel-Eksel;Eksel;Limburg;ObsMapp;J;Goedgekeurd op basis van kennisregels - nabijheid;1/01/2007;1;;25.0;Planten;Poaceae;2/06/2026;2371;S;zeldzaam
119678347;119678347;Bevertjes;Briza media;2016-07-06;6;7/06/2016;1;ter plaatse;onbekend;onbekend;onbekend;180249.5632723539;216001.2987395544;4.8020302131772;51.2531187431887;FS2579;Lille - Kindernouwbeekvallei - Den Eurst;Lille;Wechelderzande;Antwerpen;ObsMapp;J;Goedgekeurd op basis van expertoordeel;1/01/2007;1;;25.0;Planten;Poaceae;2/06/2026;2371;S;zeldzaam
312995009;312995009;Bevertjes;Briza media;2024-04-06;6;4/06/2024;1;ter plaatse;onbekend;onbekend;onbekend;195601.8923836652;228020.59481748007;5.023435592651367;51.36013412475586;FS4091;Ravels - Het Kijkverdriet;Ravels;Ravels;Antwerpen;ObsMapp;J;Goedgekeurd op basis van bewijsmateriaal;1/01/1980;1;;3.0;Planten;Poaceae;2/06/2026;2371;S;zeldzaam
157401338;157401338;Bevertjes;Briza media;;5;27/05/2018;1;ter plaatse;onbekend;onbekend;onbekend;229432.84127327567;190328.051387134;5.50081;51.0176966666667;FS7554;  ;Genk;Genk;Limburg;copied observation;J;Goedgekeurd op basis van expertoordeel;1/01/2007;1;;25.0;Planten;Poaceae;2/06/2026;2371;S;zeldzaam
139751862;139751862;Bevertjes;Briza media;2017-08-06;6;9/06/2017;1;ter plaatse;onbekend;bloeiend;onbekend;186195.52468356144;186583.26473093685;4.88426407;50.98835171;FS3250;Rillaar - Rommelaar;Aarschot;Rillaar;Vlaams-Brabant;ObsMapp;J;Goedgekeurd op basis van kennisregels - nabijheid;1/01/2007;1;;25.0;Planten;Poaceae;2/06/2026;2371;S;zeldzaam
119694463;119694463;Bevertjes;Briza media;2016-07-06;6;7/06/2016;1;ter plaatse;onbekend;bloeiend;onbekend;180002.00191783498;184935.05178534705;4.79592052;50.97388988;FS2648;Betekom - Vorsdonkbos;Aarschot;Gelrode;Vlaams-Brabant;ObsMapp;J;Goedgekeurd op basis van kennisregels - nabijheid;31/12/2024;1;;25.0;Planten;Poaceae;2/06/2026;2371;S;zeldzaam
121228044;121228044;Bevertjes;Briza media;2016-08-07;7;11/07/2016;5;ter plaatse;onbekend;onbekend;onbekend;170232.91416850456;216167.6293088775;4.65857027;51.25505295;FS1579;  ;Zoersel;Halle;Antwerpen;ObsMapp;J;Goedgekeurd op basis van kennisregels - nabijheid;1/01/2007;1;;25.0;Planten;Poaceae;2/06/2026;2371;S;zeldzaam
121469625;121469625;Bevertjes;Briza media;;7;18/07/2016;20;ter plaatse;onbekend;onbekend;onbekend;165387.36492817133;227304.56246004623;4.58964001;51.35530219;FS1090;Brecht - Groot Schietveld - Trektelpost (Strikt ontoegankelijk);Brecht;Brecht;Antwerpen;ObsMapp;J;Goedgekeurd op basis van kennisregels - nabijheid;1/01/2007;1;;25.0;Planten;Poaceae;2/06/2026;2371;S;zeldzaam
309241811;309241811;Bevertjes;Briza media;2024-05-12;5;2024-05-12;1;aangeplant;onbekend;onbekend;onbekend;150329.25719908625;205833.8562059095;4.3734633333333335;51.162525;ES9668;Antwerpen - Landschap Zuidelijke kamers;Antwerpen;Wilrijk;Antwerpen;ObsIdentify;J;Goedgekeurd op basis van bewijsmateriaal;1980-01-01;4;;5;Planten;Poaceae;2026-06-02;2371;S;zeldzaam
275267459;275267459;Bevertjes;Briza media;2023-06-07;6;2023-06-07;1;ter plaatse;onbekend;onbekend;onbekend;151620.5081076586;205340.4180839006;4.39192;51.1580874;ES9768;Wilrijk - Groen Neerland - Park van Eeden (Stad Antwerpen);Antwerpen;Wilrijk;Antwerpen;ObsIdentify;J;Goedgekeurd op basis van bewijsmateriaal;1980-01-01;3;;4;Planten;Poaceae;2026-06-02;2371;S;zeldzaam
313125051;313125051;Bevertjes;Briza media;2024-06-05;6;2024-06-05;1;ter plaatse;onbekend;onbekend;onbekend;179830.1288594395;184602.11750334877;4.7934463;50.970906;FS2548;Betekom - Vorsdonkbos;Aarschot;Gelrode;Vlaams-Brabant;ObsIdentify;J;Goedgekeurd op basis van bewijsmateriaal;2027-12-31;3;;4;Planten;Poaceae;2026-06-02;2371;S;zeldzaam
356614202;356614202;Bevertjes;Briza media;2025-06-15;6;2025-06-15;1;ter plaatse;onbekend;onbekend;onbekend;195564.5528396792;228051.2497748239;5.0229034423828125;51.36041259765625;FS4091;Ravels - Het Kijkverdriet;Ravels;Ravels;Antwerpen;ObsMapp;J;Goedgekeurd op basis van kennisregels - nabijheid;1980-01-01;4;;2;Planten;Poaceae;2026-06-02;2371;S;zeldzaam
311493695;311493695;Bevertjes;Briza media;2024-05-25;5;2024-05-25;1;verwilderd;onbekend;onbekend;onbekend;189845.7006482296;222883.60710067023;4.940233;51.3143923;FS3586;Turnhout - Natuurgaard De Wending;Turnhout;Turnhout;Antwerpen;ObsIdentify;J;Goedgekeurd op basis van bewijsmateriaal;1980-01-01;3;;4;Planten;Poaceae;2026-06-02;2371;S;zeldzaam
273827166;273827166;Bevertjes;Briza media;2023-05-28;5;2023-05-28;1;ter plaatse;onbekend;onbekend;onbekend;153570.5415851183;214832.8257005541;4.419888496398926;51.24340057373047;ES9977;  ;Antwerpen;Antwerpen;Antwerpen;ObsMapp;J;Goedgekeurd op basis van bewijsmateriaal;1980-01-01;3;;3;Planten;Poaceae;2026-06-02;2371;S;zeldzaam
275338800;275338800;Bevertjes;Briza media;2023-06-07;6;2023-06-08;1;ter plaatse;onbekend;onbekend;onbekend;179842.06393302442;184607.6369749913;4.793616666666667;50.970955;FS2548;Betekom - Vorsdonkbos;Aarschot;Gelrode;Vlaams-Brabant;ObsIdentify;J;Goedgekeurd op basis van bewijsmateriaal;2026-12-31;3;;44;Planten;Poaceae;2026-06-02;2371;S;zeldzaam
310306709;310306709;Bevertjes;Briza media;2024-05-19;5;2024-05-19;1;aangeplant;onbekend;onbekend;onbekend;189525.2423269989;224794.7964615012;4.9358467;51.3315917;FS3488;Turnhout - Park Heizijdse Velden;Turnhout;Turnhout;Antwerpen;ObsIdentify;J;Goedgekeurd op basis van bewijsmateriaal;1980-01-01;3;;93;Planten;Poaceae;2026-06-02;2371;S;zeldzaam
