wn_id;unieke_id;naam_nl;naam_lat;datum;maand;invoerdatum;aantal;gedrag;methode;kleed;geslacht;x;y;lon;lat;utm1;gebied;gemeente;deelgemeente;provincie;typewaarneming;zeker;status;embargo_datum;toestemming_wnr;bijzonderheden;precisie;soortgroep;familie;aanleverdatum;id_species;id_species_type;zeldzaamheid
144828531;144828531;Drietallig glaskroos;Elatine triandra;;9;8/10/2017;1;ter plaatse;onbekend;onbekend;onbekend;224219.6855131088;191686.72576281612;5.4268;51.0306;FS7056;Houthalen-Helchteren - Plas Kelchterhoef;Houthalen-Helchteren;Houthalen;Limburg;iObs;J;Goedgekeurd op basis van bewijsmateriaal;1/01/2007;1;Bloemen allen ongesteeld.;5.0;Planten;Elatinaceae;2/06/2026;6720;S;zeer zeldzaam
109124873;109124873;Drietallig glaskroos;Elatine triandra;2015-03-10;10;3/10/2015;1;ter plaatse;onbekend;vruchtdragend;onbekend;218563.61665146245;186507.92599944025;5.34520762973;50.9847487276;FS6450;Zonhoven - Wijvenheide - Zuid;Zonhoven;Zonhoven;Limburg;ObsMapp;J;Goedgekeurd op basis van expertoordeel;1/01/2007;1;;25.0;Planten;Elatinaceae;2/06/2026;6720;S;zeer zeldzaam
109124796;109124796;Drietallig glaskroos;Elatine triandra;2015-03-10;10;3/10/2015;1;ter plaatse;onbekend;vruchtdragend;onbekend;217759.25637639017;185792.4039085992;5.33362107351422;50.9784119250253;FS6350;Zonhoven - Ter Donk;Zonhoven;Zonhoven;Limburg;ObsMapp;J;Goedgekeurd op basis van expertoordeel;1/01/2007;1;;25.0;Planten;Elatinaceae;2/06/2026;6720;S;zeer zeldzaam
197521393;197521393;Drietallig glaskroos;Elatine triandra;2020-01-08;8;1/08/2020;1;ter plaatse;onbekend;onbekend;onbekend;226268.539769364;182912.4768694444;5.45417404174805;50.9514694213867;FS7247;Genk - De Maten - De Maten-Centraal (Ontoegankelijk);Genk;Genk;Limburg;ObsMapp;J;Goedgekeurd op basis van bewijsmateriaal;1/01/2007;1;;25.0;Planten;Elatinaceae;2/06/2026;6720;S;zeer zeldzaam
87607154;87607154;Drietallig glaskroos;Elatine triandra;;8;31/08/2014;1;ter plaatse;onbekend;onbekend;onbekend;220688.64778398263;199519.740809164;5.37798799574375;51.1014454811811;FS6663;Hechtel-Eksel - Resterheide;Hechtel-Eksel;Hechtel;Limburg;ObsMapp;J;Goedgekeurd op basis van expertoordeel;1/01/2007;1;;25.0;Planten;Elatinaceae;2/06/2026;6720;S;zeer zeldzaam
373074850;373074850;Drietallig glaskroos;Elatine triandra;2025-09-17;9;2025-09-17;1;ter plaatse;onbekend;bloeiend;onbekend;226464.8712328213;182768.93168271703;5.456937789916992;50.95015335083008;FS7247;Genk - De Maten - De Maten-Centraal (Ontoegankelijk);Genk;Genk;Limburg;ObsMapp;J;Goedgekeurd op basis van bewijsmateriaal;1980-01-01;4;;3;Planten;Elatinaceae;2026-06-02;6720;S;zeer zeldzaam
105774264;105774264;Drietallig glaskroos;Elatine triandra;2015-08-26;8;2015-08-26;1;ter plaatse;onbekend;onbekend;onbekend;220975.6730039573;184340.48506708536;5.37913464009762;50.9649766981602;FS6748;Hasselt - Natuurgebied Kiewit;Hasselt;Hasselt;Limburg;ObsMapp;J;Goedgekeurd op basis van bewijsmateriaal;2018-08-26;4;Drie meeldraden;25;Planten;Elatinaceae;2026-06-02;6720;S;zeer zeldzaam
161979882;161979882;Drietallig glaskroos;Elatine triandra;2018-08-31;8;2018-08-31;1;ter plaatse;onbekend;onbekend;onbekend;182337.4073864594;233493.853059344;4.83350467681885;51.4102249145508;FS2797;Wortel-Kolonie - Heide;Hoogstraten;Wortel;Antwerpen;ObsMapp;J;Goedgekeurd op basis van expertoordeel;2007-01-01;4;;25;Planten;Elatinaceae;2026-06-02;6720;S;zeer zeldzaam
141261011;141261011;Drietallig glaskroos;Elatine triandra;2017-07-06;7;2017-07-06;1;ter plaatse;onbekend;bloeiend;onbekend;218015.56646533345;184336.98494537827;5.337;50.9653;FS6448;Zonhoven - Platwijers;Zonhoven;Zonhoven;Limburg;iObs;J;Goedgekeurd op basis van kennisregels - nabijheid;2007-01-01;4;Sur viccia sp;10;Planten;Elatinaceae;2026-06-02;6720;S;zeer zeldzaam
184688314;184688314;Drietallig glaskroos;Elatine triandra;2017-08-29;8;2020-01-23;1;ter plaatse;microscopisch onderzocht;onbekend;onbekend;218183.98146841564;186052.02505353463;5.33971669;50.9806957;FS6450;Zonhoven - Ter Donk;Zonhoven;Zonhoven;Limburg;copied observation;J;Goedgekeurd op basis van expertoordeel;1980-01-01;3;determinatie Vincent Smeekens;1000;Planten;Elatinaceae;2026-06-02;6720;S;zeer zeldzaam
