wn_id;unieke_id;naam_nl;naam_lat;datum;maand;invoerdatum;aantal;gedrag;methode;kleed;geslacht;x;y;lon;lat;utm1;gebied;gemeente;deelgemeente;provincie;typewaarneming;zeker;status;embargo_datum;toestemming_wnr;bijzonderheden;precisie;soortgroep;familie;aanleverdatum;id_species;id_species_type;zeldzaamheid
171747294;171747294;Groot streepzaad;Crepis biennis;2019-06-05;5;6/05/2019;1;ter plaatse;veldwaarneming;bloeiend;onbekend;180212.23413111788;185601.51965844535;4.79896879196167;50.9798698425293;FS2649;  ;Aarschot;Gelrode;Vlaams-Brabant;ObsMapp;J;Goedgekeurd op basis van kennisregels - nabijheid;1/01/2007;1;;25.0;Planten;Asteraceae;2/06/2026;6657;S;vrij algemeen
171747306;171747306;Groot streepzaad;Crepis biennis;2019-06-05;5;6/05/2019;100;ter plaatse;veldwaarneming;bloeiend;onbekend;179511.74431546463;185579.25365386624;4.78899240493774;50.9797058105469;FS2549;Betekom - Vorsdonkbos;Begijnendijk;Betekom;Vlaams-Brabant;ObsMapp;J;Goedgekeurd op basis van bewijsmateriaal;1/01/2007;1;;25.0;Planten;Asteraceae;2/06/2026;6657;S;vrij algemeen
155776768;155776768;Groot streepzaad;Crepis biennis;2018-01-05;5;2/05/2018;1;ter plaatse;veldwaarneming;vegetatief;onbekend;177671.76770148898;180953.5955598615;4.76244236197957;50.9382161955189;FS2344;Wezemaal/Holsbeek/Kortrijk-Dutsel - Hagelandse Vallei - Kloosterbroek;Rotselaar;Wezemaal;Vlaams-Brabant;ObsMapp;J;Goedgekeurd op basis van kennisregels - nabijheid;1/01/2007;1;;25.0;Planten;Asteraceae;2/06/2026;6657;S;vrij algemeen
157592900;157592900;Groot streepzaad;Crepis biennis;;5;31/05/2018;1;ter plaatse;veldwaarneming;onbekend;onbekend;176377.12818327485;178608.5092202723;4.74385487;50.91719614;FS2242;  ;Holsbeek;Holsbeek;Vlaams-Brabant;copied observation;J;Goedgekeurd op basis van kennisregels - nabijheid;1/01/2007;1;;25.0;Planten;Asteraceae;2/06/2026;6657;S;vrij algemeen
188605685;188605685;Groot streepzaad;Crepis biennis;;4;13/04/2020;100;ter plaatse;veldwaarneming;bloeiend;onbekend;177592.5323985942;179944.1398119554;4.76123905181885;50.9291458129883;FS2343;Wezemaal/Holsbeek/Kortrijk-Dutsel - Hagelandse Vallei - Kloosterbroek;Holsbeek;Holsbeek;Vlaams-Brabant;ObsMapp;J;Goedgekeurd op basis van kennisregels - nabijheid;1/01/2007;1;;25.0;Planten;Asteraceae;2/06/2026;6657;S;vrij algemeen
190194411;190194411;Groot streepzaad;Crepis biennis;2020-02-05;5;2/05/2020;1;ter plaatse;onbekend;onbekend;onbekend;214246.8670977339;177243.61130358092;5.282112699722222;50.9019703;FS6041;Herkvallei - Terkoest;Alken;Alken;Limburg;ObsIdentify;J;Goedgekeurd op basis van bewijsmateriaal;1/01/1980;1;;25.0;Planten;Asteraceae;2/06/2026;6657;S;vrij algemeen
316018272;316018272;Groot streepzaad;Crepis biennis;;6;24/06/2024;1;ter plaatse;onbekend;bloeiend;onbekend;205803.5181165448;183105.65329602268;5.162980556488037;50.95553588867188;FS5147;Schulensbroek - Langdoncken;Herk-de-Stad;Schulen;Limburg;ObsMapp;J;Goedgekeurd op basis van kennisregels - nabijheid;1/01/1980;1;;3.0;Planten;Asteraceae;2/06/2026;6657;S;vrij algemeen
85498286;85498286;Groot streepzaad;Crepis biennis;;6;15/06/2014;1;ter plaatse;onbekend;onbekend;onbekend;205289.02814734637;183326.91167528;5.155692;50.957574;FS5147;Schulensbroek - Langdoncken;Herk-de-Stad;Schulen;Limburg;ObsMapp;J;Goedgekeurd op basis van kennisregels - nabijheid;1/01/2007;1;;25.0;Planten;Asteraceae;2/06/2026;6657;S;vrij algemeen
85498276;85498276;Groot streepzaad;Crepis biennis;;6;15/06/2014;1;ter plaatse;onbekend;onbekend;onbekend;205496.34736920893;183441.81190537568;5.15866;50.958587;FS5147;Schulensbroek - Langdoncken;Herk-de-Stad;Schulen;Limburg;ObsMapp;J;Goedgekeurd op basis van kennisregels - nabijheid;1/01/2007;1;;25.0;Planten;Asteraceae;2/06/2026;6657;S;vrij algemeen
119597815;119597815;Groot streepzaad;Crepis biennis;2016-05-06;6;5/06/2016;1;ter plaatse;onbekend;onbekend;onbekend;152362.94538405875;213602.7100015171;4.4025873;51.2323502;ES9776;Antwerpen - Eilandje;Antwerpen;Antwerpen;Antwerpen;ObsMapp;J;Goedgekeurd op basis van expertoordeel;1/01/2007;1;;25.0;Planten;Asteraceae;2/06/2026;6657;S;vrij algemeen
