wn_id;unieke_id;naam_nl;naam_lat;datum;maand;invoerdatum;aantal;gedrag;methode;kleed;geslacht;x;y;lon;lat;utm1;gebied;gemeente;deelgemeente;provincie;typewaarneming;zeker;status;embargo_datum;toestemming_wnr;bijzonderheden;precisie;soortgroep;familie;aanleverdatum;id_species;id_species_type;zeldzaamheid
141510191;141510191;Klein blaasjeskruid;Utricularia minor;2017-10-07;7;13/07/2017;1000;ter plaatse;onbekend;onbekend;onbekend;164755.31136725296;226708.74969269708;4.58054266;51.34996371;FS1089;Brecht - Groot Schietveld (Strikt ontoegankelijk);Brecht;Brecht;Antwerpen;ObsMapp;J;Goedgekeurd op basis van kennisregels - nabijheid;1/01/2007;1;;25.0;Planten;Lentibulariaceae;2/06/2026;2793;S;zeldzaam
124093621;124093621;Klein blaasjeskruid;Utricularia minor;;9;28/09/2016;501;ter plaatse;onbekend;onbekend;onbekend;154212.80124112518;234466.89706514776;4.42931765690446;51.4198667323217;ES9997;Grenspark Kalmthoutse Heide - De Nol (Ontoegankelijk);Kalmthout;Kalmthout;Antwerpen;ObsMapp;J;Goedgekeurd op basis van kennisregels - nabijheid;1/01/2007;1;;25.0;Planten;Lentibulariaceae;2/06/2026;2793;S;zeldzaam
124042737;124042737;Klein blaasjeskruid;Utricularia minor;;9;26/09/2016;1001;ter plaatse;onbekend;onbekend;onbekend;154098.7388383752;234294.23520089316;4.42767606116831;51.4183157449588;ES9997;Grenspark Kalmthoutse Heide - De Nol (Ontoegankelijk);Kalmthout;Kalmthout;Antwerpen;ObsMapp;J;Goedgekeurd op basis van kennisregels - nabijheid;1/01/2007;1;;25.0;Planten;Lentibulariaceae;2/06/2026;2793;S;zeldzaam
124093635;124093635;Klein blaasjeskruid;Utricularia minor;;9;28/09/2016;1001;ter plaatse;onbekend;onbekend;onbekend;154286.55229133423;234800.4579772232;4.43038182333112;51.4228641008958;ES9997;Grenspark Kalmthoutse Heide - De Nol (Ontoegankelijk);Kalmthout;Kalmthout;Antwerpen;ObsMapp;J;Goedgekeurd op basis van kennisregels - nabijheid;1/01/2007;1;;25.0;Planten;Lentibulariaceae;2/06/2026;2793;S;zeldzaam
163301983;163301983;Klein blaasjeskruid;Utricularia minor;2018-07-10;10;7/10/2018;1;ter plaatse;onbekend;onbekend;onbekend;225472.66726778643;188423.32554741856;5.44398546218872;51.001106262207;FS7152;Zonhoven - Teut;Zonhoven;Zonhoven;Limburg;ObsMapp;J;Goedgekeurd op basis van bewijsmateriaal;1/01/2007;1;;25.0;Planten;Lentibulariaceae;2/06/2026;2793;S;zeldzaam
124093622;124093622;Klein blaasjeskruid;Utricularia minor;;9;28/09/2016;101;ter plaatse;onbekend;onbekend;onbekend;154215.22168576182;234473.28273908328;4.4293525256217;51.419924106449;ES9997;Grenspark Kalmthoutse Heide - De Nol (Ontoegankelijk);Kalmthout;Kalmthout;Antwerpen;ObsMapp;J;Goedgekeurd op basis van kennisregels - nabijheid;1/01/2007;1;;25.0;Planten;Lentibulariaceae;2/06/2026;2793;S;zeldzaam
200204895;200204895;Klein blaasjeskruid;Utricularia minor;;9;16/09/2020;1;ter plaatse;onbekend;onbekend;onbekend;179937.03034715788;184769.85629876985;4.79498195648193;50.9724082946777;FS2648;Betekom - Vorsdonkbos;Aarschot;Gelrode;Vlaams-Brabant;ObsMapp;J;Goedgekeurd op basis van kennisregels - nabijheid;1/01/2007;1;;25.0;Planten;Lentibulariaceae;2/06/2026;2793;S;zeldzaam
124093638;124093638;Klein blaasjeskruid;Utricularia minor;;9;28/09/2016;10001;ter plaatse;onbekend;onbekend;onbekend;154292.30150916075;234682.2643901985;4.43046304397285;51.4218017784879;ES9997;Grenspark Kalmthoutse Heide - De Nol (Ontoegankelijk);Kalmthout;Kalmthout;Antwerpen;ObsMapp;J;Goedgekeurd op basis van expertoordeel;1/01/2007;1;;25.0;Planten;Lentibulariaceae;2/06/2026;2793;S;zeldzaam
124042726;124042726;Klein blaasjeskruid;Utricularia minor;;9;26/09/2016;101;ter plaatse;onbekend;onbekend;onbekend;154368.81122463054;234268.6165786879;4.43155780434608;51.4180834824219;ES9997;Grenspark Kalmthoutse Heide - De Nol (Ontoegankelijk);Kalmthout;Kalmthout;Antwerpen;ObsMapp;J;Goedgekeurd op basis van kennisregels - nabijheid;1/01/2007;1;;25.0;Planten;Lentibulariaceae;2/06/2026;2793;S;zeldzaam
124042730;124042730;Klein blaasjeskruid;Utricularia minor;;9;26/09/2016;10001;ter plaatse;onbekend;onbekend;onbekend;154377.41519747;234353.78465956915;4.43168252706528;51.41884887591;ES9997;Grenspark Kalmthoutse Heide - De Nol (Ontoegankelijk);Kalmthout;Kalmthout;Antwerpen;ObsMapp;J;Goedgekeurd op basis van expertoordeel;1/01/2007;1;gracht;25.0;Planten;Lentibulariaceae;2/06/2026;2793;S;zeldzaam
