wn_id;unieke_id;naam_nl;naam_lat;datum;maand;invoerdatum;aantal;gedrag;methode;kleed;geslacht;x;y;lon;lat;utm1;gebied;gemeente;deelgemeente;provincie;typewaarneming;zeker;status;embargo_datum;toestemming_wnr;bijzonderheden;precisie;soortgroep;familie;aanleverdatum;id_species;id_species_type;zeldzaamheid
78962916;78962916;Kransvederkruid;Myriophyllum verticillatum;2013-07-09;9;7/09/2013;1;ter plaatse;onbekend;vruchtdragend;onbekend;192697.30169507564;189596.46433997527;4.977213;51.014994;FS3853;Averbode - Vierkensbroek;Scherpenheuvel-Zichem;Averbode;Vlaams-Brabant;ObsMapp;J;Goedgekeurd op basis van expertoordeel;1/01/2007;1;;10.0;Planten;Haloragaceae;2/06/2026;7083;S;zeldzaam
78962917;78962917;Kransvederkruid;Myriophyllum verticillatum;2013-07-09;9;7/09/2013;1;ter plaatse;onbekend;onbekend;onbekend;192703.5104327961;189600.96528430097;4.977302;51.015034;FS3853;Averbode - Vierkensbroek;Scherpenheuvel-Zichem;Averbode;Vlaams-Brabant;ObsMapp;J;Goedgekeurd op basis van expertoordeel;1/01/2007;1;;10.0;Planten;Haloragaceae;2/06/2026;7083;S;zeldzaam
144466276;144466276;Kransvederkruid;Myriophyllum verticillatum;2017-09-26;9;2017-09-26;1;ter plaatse;onbekend;onbekend;onbekend;228655.83337596164;217757.2800175436;5.495674;51.26432624;FS7482;Warmbeekvallei - Grevenbroek (LiLa);Hamont-Achel;Achel;Limburg;ObsMapp;J;Goedgekeurd op basis van kennisregels - nabijheid;2018-09-26;3;;25;Planten;Haloragaceae;2026-06-02;7083;S;zeldzaam
88891639;88891639;Kransvederkruid;Myriophyllum verticillatum;2014-09-20;9;2014-10-01;1;ter plaatse;onbekend;onbekend;onbekend;192708.13640070325;189677.0519935889;4.977376816666666;51.01571758333333;FS3853;Averbode - Vierkensbroek;Scherpenheuvel-Zichem;Averbode;Vlaams-Brabant;Webobs html5;J;Goedgekeurd op basis van kennisregels - nabijheid;2007-01-01;3;;25;Planten;Haloragaceae;2026-06-02;7083;S;zeldzaam
144466279;144466279;Kransvederkruid;Myriophyllum verticillatum;2017-09-26;9;2017-09-26;1;ter plaatse;onbekend;onbekend;onbekend;228608.24464373972;217725.5789808752;5.4949854;51.26404783;FS7482;Warmbeekvallei - Grevenbroek (LiLa);Hamont-Achel;Achel;Limburg;ObsMapp;J;Goedgekeurd op basis van kennisregels - nabijheid;2018-09-26;3;;25;Planten;Haloragaceae;2026-06-02;7083;S;zeldzaam
144466204;144466204;Kransvederkruid;Myriophyllum verticillatum;2017-09-26;9;2017-09-26;1;ter plaatse;onbekend;onbekend;onbekend;228773.1544828153;217724.22912337352;5.49734742;51.26401318;FS7482;Warmbeekvallei - Grevenbroek (LiLa);Hamont-Achel;Achel;Limburg;ObsMapp;J;Goedgekeurd op basis van kennisregels - nabijheid;2018-09-26;3;;25;Planten;Haloragaceae;2026-06-02;7083;S;zeldzaam
144466239;144466239;Kransvederkruid;Myriophyllum verticillatum;2017-09-26;9;2017-09-26;1;ter plaatse;onbekend;onbekend;onbekend;228699.18885263853;217620.2572345538;5.49626524;51.26308887;FS7482;Warmbeekvallei - Grevenbroek (LiLa);Hamont-Achel;Achel;Limburg;ObsMapp;J;Goedgekeurd op basis van kennisregels - nabijheid;2018-09-26;3;;25;Planten;Haloragaceae;2026-06-02;7083;S;zeldzaam
88162438;88162438;Kransvederkruid;Myriophyllum verticillatum;2014-09-20;9;2014-09-21;1;ter plaatse;onbekend;onbekend;onbekend;192683.0949664922;189595.88808064256;4.97701048851;51.0149898676;FS3853;Averbode - Vierkensbroek;Scherpenheuvel-Zichem;Averbode;Vlaams-Brabant;Site;J;Goedgekeurd op basis van kennisregels - nabijheid;1980-01-01;4;Activiteit van Natuurpunt FON;100;Planten;Haloragaceae;2026-06-02;7083;S;zeldzaam
62135709;62135709;Kransvederkruid;Myriophyllum verticillatum;1986-09-14;9;2011-12-15;1;ter plaatse;onbekend;onbekend;onbekend;202708.61499010745;193878.2701490866;5.12048884036;51.052656481;FS4857;Tessenderlo/Paal - Oosterbergen;Tessenderlo;Tessenderlo;Limburg;Unknown;J;Goedgekeurd op basis van bewijsmateriaal;1980-01-01;3;;999;Planten;Haloragaceae;2026-06-02;7083;S;zeldzaam
132852560;132852560;Kransvederkruid;Myriophyllum verticillatum;1987-09-14;9;2016-12-15;1;ter plaatse;onbekend;bloeiend;onbekend;202164.9703821081;193670.286020739;5.11270612;51.05083628;FS4857;Tessenderlo/Paal - Oosterbergen;Tessenderlo;Tessenderlo;Limburg;Site;J;Goedgekeurd op basis van expertoordeel;1980-01-01;3;;100;Planten;Haloragaceae;2026-06-02;7083;S;zeldzaam
