wn_id;unieke_id;naam_nl;naam_lat;datum;maand;invoerdatum;aantal;gedrag;methode;kleed;geslacht;x;y;lon;lat;utm1;gebied;gemeente;deelgemeente;provincie;typewaarneming;zeker;status;embargo_datum;toestemming_wnr;bijzonderheden;precisie;soortgroep;familie;aanleverdatum;id_species;id_species_type;zeldzaamheid
157886250;157886250;Kwartelkoning;Crex crex;2018-09-05;5;5/06/2018;1;adult in broedbiotoop;gehoord;adult;onbekend;169813.0244503447;208081.05994958803;4.65211283;51.18238281;FS1571;Kleine Netevallei - Viersels Gebroekt;Zandhoven;Viersel;Antwerpen;Site;J;Goedgekeurd op basis van expertoordeel;31/07/2020;1;;10.0;Vogels;Rallidae;2/06/2026;18;S;zeldzaam
193064050;193064050;Kwartelkoning;Crex crex;2020-02-06;6;2/06/2020;1;baltsend / zingend;gehoord;onbekend;onbekend;170376.08561592706;208154.47128850315;4.6601695;51.18302303;FS1671;Kleine Netevallei - Viersels Gebroekt;Zandhoven;Viersel;Antwerpen;Site;J;Goedgekeurd op basis van expertoordeel;31/07/2020;1;;10.0;Vogels;Rallidae;2/06/2026;18;S;zeldzaam
156009028;156009028;Kwartelkoning;Crex crex;2018-06-05;5;6/05/2018;1;ter plaatse;gehoord;onbekend;Man;169934.51054098993;207895.97703046445;4.65384006;51.18071501;FS1571;Kleine Netevallei - Viersels Gebroekt;Zandhoven;Viersel;Antwerpen;Site;J;Goedgekeurd op basis van expertoordeel;31/07/2020;1;Typische krassende roep_ frequent te horen.Waarneming gedaan samen mer Steven VandenBussche. Een tweede locatie  van roepende haan werd me meegedeeld door anderen_ zelf gecheckt maar niks waargenomen.;10.0;Vogels;Rallidae;2/06/2026;18;S;zeldzaam
142454149;142454149;Kwartelkoning;Crex crex;2000-09-06;6;5/08/2017;2;baltsend / zingend;onbekend;onbekend;onbekend;170303.06542500036;220766.24870033283;4.65983391;51.29638343;FS1584;  ;Malle;Westmalle;Antwerpen;Site;J;Goedgekeurd op basis van expertoordeel;1/01/1980;1;;100.0;Vogels;Rallidae;2/06/2026;18;S;zeldzaam
246225604;246225604;Kwartelkoning;Crex crex;2018-06-05;5;20/06/2022;1;baltsend / zingend;onbekend;onbekend;onbekend;169923.49432403664;207891.3049621349;4.6536822617054;51.1806733962647;FS1571;Kleine Netevallei - Viersels Gebroekt;Zandhoven;Viersel;Antwerpen;ObsMapp;J;Goedgekeurd op basis van expertoordeel;31/07/2021;1;;5.0;Vogels;Rallidae;2/06/2026;18;S;zeldzaam
142454194;142454194;Kwartelkoning;Crex crex;2000-11-06;6;5/08/2017;1;baltsend / zingend;onbekend;onbekend;onbekend;170305.98806581894;220784.173980386;4.65987682;51.29654444;FS1584;  ;Malle;Westmalle;Antwerpen;Site;J;Goedgekeurd op basis van expertoordeel;1/01/1980;1;;100.0;Vogels;Rallidae;2/06/2026;18;S;zeldzaam
193325326;193325326;Kwartelkoning;Crex crex;2020-10-05;5;5/06/2020;1;baltsend / zingend;onbekend;onbekend;onbekend;160558.42960099402;206514.10662148983;4.51971296221018;51.1685422717714;FS0669;Vremde - Molenbeek;Boechout;Boechout;Antwerpen;ObsMapp;J;Goedgekeurd op basis van expertoordeel;31/07/2020;1;;25.0;Vogels;Rallidae;2/06/2026;18;S;zeldzaam
294483770;294483770;Kwartelkoning;Crex crex;2023-05-14;5;2023-12-12;1;baltsend / zingend;onbekend;onbekend;onbekend;192705.8149289727;189127.3741177544;4.977279468679853;51.01077683320396;FS3852;Zichem - Snippenweide - Broosvijver;Scherpenheuvel-Zichem;Averbode;Vlaams-Brabant;Site;J;Goedgekeurd op basis van expertoordeel;1980-01-01;4;;14;Vogels;Rallidae;2026-06-02;18;S;zeldzaam
355605682;355605682;Kwartelkoning;Crex crex;2025-06-07;6;2025-06-10;1;ter plaatse;onbekend;onbekend;onbekend;204741.34104676664;183278.4105563974;5.147889999999961;50.95719;FS5047;Schulensbroek - Oosten Strandje;Herk-de-Stad;Schulen;Limburg;Site;J;Goedgekeurd op basis van bewijsmateriaal;1980-01-01;3;;50;Vogels;Rallidae;2026-06-02;18;S;zeldzaam
356780456;356780456;Kwartelkoning;Crex crex;2025-06-13;6;2025-06-15;2;baltsend / zingend;gehoord;onbekend;onbekend;205713.23376505348;183839.4528363412;5.16180731356144;50.962140476223176;FS5147;Schulensbroek - Binnenbekken Oost;Herk-de-Stad;Schulen;Limburg;ObsMapp;J;Goedgekeurd op basis van bewijsmateriaal;1980-01-01;3;;5;Vogels;Rallidae;2026-06-02;18;S;zeldzaam
350617528;350617528;Kwartelkoning;Crex crex;2025-05-15;5;2025-05-15;1;baltsend / zingend;gehoord;onbekend;Man;203870.767376707;183241.11059966404;5.135494481342122;50.95693625385751;FS4947;Schulensbroek - Binnenbekken West;Herk-de-Stad;Schulen;Limburg;iObs;J;Goedgekeurd op basis van bewijsmateriaal;1980-01-01;4;;25;Vogels;Rallidae;2026-06-02;18;S;zeldzaam
352388768;352388768;Kwartelkoning;Crex crex;2025-05-25;5;2025-05-25;1;baltsend / zingend;gehoord;onbekend;onbekend;204837.17599270697;183450.6950085973;5.149279721081257;50.958729561815744;FS5047;Schulensbroek - Oosten Strandje;Herk-de-Stad;Schulen;Limburg;ObsMapp;J;Goedgekeurd op basis van bewijsmateriaal;1980-01-01;4;;5;Vogels;Rallidae;2026-06-02;18;S;zeldzaam
316819999;316819999;Kwartelkoning;Crex crex;2024-06-20;6;2024-06-30;1;ter plaatse;vangst;adult;onbekend;205523.69290587096;182858.87038837373;5.158960819244385;50.95334448704913;FS5146;Schulensbroek - Langdoncken;Herk-de-Stad;Schulen;Limburg;Site;J;Goedgekeurd op basis van bewijsmateriaal;1980-01-01;3;;15;Vogels;Rallidae;2026-06-02;18;S;zeldzaam
191234066;191234066;Kwartelkoning;Crex crex;2020-05-12;5;2020-05-13;1;baltsend / zingend;gehoord;onbekend;onbekend;160534.85177760446;206530.5707819816;4.51937634497881;51.1686906930146;FS0669;Vremde - Molenbeek;Boechout;Boechout;Antwerpen;copied observation;J;Goedgekeurd op basis van expertoordeel;2020-09-12;3;;25;Vogels;Rallidae;2026-06-02;18;S;zeldzaam
191053120;191053120;Kwartelkoning;Crex crex;2020-05-09;5;2020-05-10;1;baltsend / zingend;gehoord;onbekend;Man;160440.58765262231;206468.31027637888;4.51802683;51.16813278;FS0669;Vremde - Molenbeek;Boechout;Boechout;Antwerpen;ObsMapp;J;Goedgekeurd op basis van expertoordeel;2020-07-31;3;;25;Vogels;Rallidae;2026-06-02;18;S;zeldzaam
190969796;190969796;Kwartelkoning;Crex crex;2020-05-09;5;2020-05-09;1;baltsend / zingend;gehoord;onbekend;onbekend;160459.32569288285;206492.0135034332;4.51829541474581;51.1683454972621;FS0669;Vremde - Molenbeek;Boechout;Boechout;Antwerpen;ObsMapp;J;Goedgekeurd op basis van expertoordeel;2020-07-31;3;;25;Vogels;Rallidae;2026-06-02;18;S;zeldzaam
155998376;155998376;Kwartelkoning;Crex crex;2018-05-06;5;2018-05-06;1;baltsend / zingend;gehoord;onbekend;onbekend;169927.98182282769;207848.8337261686;4.6537441;51.18029149;FS1571;Kleine Netevallei - Viersels Gebroekt;Zandhoven;Viersel;Antwerpen;ObsMapp;J;Goedgekeurd op basis van expertoordeel;2020-07-31;3;;25;Vogels;Rallidae;2026-06-02;18;S;zeldzaam
351484526;351484526;Kwartelkoning;Crex crex;2025-05-19;5;2025-05-20;1;baltsend / zingend;gehoord;onbekend;onbekend;203661.0336074961;183385.3189556934;5.132530689239502;50.958251953125;FS4947;Schulensbroek - Binnenbekken West;Herk-de-Stad;Schulen;Limburg;ObsMapp;J;Goedgekeurd op basis van bewijsmateriaal;1980-01-01;3;;5;Vogels;Rallidae;2026-06-02;18;S;zeldzaam
191235973;191235973;Kwartelkoning;Crex crex;2020-05-12;5;2020-05-13;1;baltsend / zingend;gehoord;onbekend;onbekend;160542.93528849867;206538.5433827974;4.51949214935303;51.1687622070313;FS0669;Vremde - Molenbeek;Boechout;Boechout;Antwerpen;ObsMapp;J;Goedgekeurd op basis van bewijsmateriaal;2025-06-12;3;;25;Vogels;Rallidae;2026-06-02;18;S;zeldzaam
277705446;277705446;Kwartelkoning;Crex crex;2023-06-24;6;2023-06-24;1;baltsend / zingend;onbekend;onbekend;onbekend;203827.8082363316;183380.3184866812;5.134903549951559;50.95819154700959;FS4947;Schulensbroek - Pijpenkop;Herk-de-Stad;Schulen;Limburg;ObsMapp;J;Goedgekeurd op basis van bewijsmateriaal;1980-01-01;4;Onverwacht!! Hoorde hem zingen aan de andere kant van het meer. Vollenbak alles aan het geven in het midden van de dag. Bizar!;5;Vogels;Rallidae;2026-06-02;18;S;zeldzaam
191639397;191639397;Kwartelkoning;Crex crex;2020-05-17;5;2020-05-18;1;baltsend / zingend;gehoord;onbekend;onbekend;160534.0390812142;206549.63065931943;4.51936528086662;51.1688620285583;FS0669;Vremde - Molenbeek;Boechout;Boechout;Antwerpen;ObsMapp;J;Goedgekeurd op basis van expertoordeel;2025-06-17;3;;25;Vogels;Rallidae;2026-06-02;18;S;zeldzaam
191890265;191890265;Kwartelkoning;Crex crex;2020-05-20;5;2020-05-20;1;baltsend / zingend;gehoord;onbekend;onbekend;160568.81438955385;206584.7840231005;4.51986350119114;51.1691773683859;FS0669;Vremde - Molenbeek;Boechout;Boechout;Antwerpen;ObsMapp;J;Goedgekeurd op basis van expertoordeel;2025-06-20;3;;25;Vogels;Rallidae;2026-06-02;18;S;zeldzaam
