wn_id;unieke_id;naam_nl;naam_lat;datum;maand;invoerdatum;aantal;gedrag;methode;kleed;geslacht;x;y;lon;lat;utm1;gebied;gemeente;deelgemeente;provincie;typewaarneming;zeker;status;embargo_datum;toestemming_wnr;bijzonderheden;precisie;soortgroep;familie;aanleverdatum;id_species;id_species_type;zeldzaamheid
79134373;79134373;Moerasweegbree;Baldellia ranunculoides;2013-09-09;9;16/09/2013;1;ter plaatse;onbekend;onbekend;onbekend;179778.1247567705;214036.7896415759;4.795116;51.235486;FS2577;Lille - Kindernouwbeekvallei - Kindernouw;Lille;Lille;Antwerpen;ObsMapp;J;Goedgekeurd op basis van expertoordeel;1/01/2007;1;;10.0;Planten;Alismataceae;2/06/2026;20473;S;zeldzaam
79134344;79134344;Moerasweegbree;Baldellia ranunculoides;2013-09-09;9;16/09/2013;1;ter plaatse;onbekend;onbekend;onbekend;179632.79431069718;214095.03337905745;4.79304;51.236017;FS2577;Lille - Kindernouwbeekvallei - Kindernouw;Lille;Lille;Antwerpen;ObsMapp;J;Goedgekeurd op basis van expertoordeel;1/01/2007;1;;10.0;Planten;Alismataceae;2/06/2026;20473;S;zeldzaam
104172598;104172598;Moerasweegbree;Baldellia ranunculoides;2015-09-07;7;9/07/2015;1;ter plaatse;onbekend;onbekend;onbekend;179608.91706373345;214053.11630673148;4.79269470088184;51.2356414692476;FS2577;Lille - Kindernouwbeekvallei - Kindernouw;Lille;Lille;Antwerpen;ObsMapp;J;Goedgekeurd op basis van expertoordeel;1/01/2007;1;;25.0;Planten;Alismataceae;2/06/2026;20473;S;zeldzaam
70820908;70820908;Moerasweegbree;Baldellia ranunculoides;;8;27/08/2012;1;ter plaatse;onbekend;onbekend;onbekend;216758.0830347986;187748.2223428888;5.31972322088;50.9961077604;FS6251;Zonhoven - Wijvenheide - Noord;Zonhoven;Zonhoven;Limburg;Unknown;J;Goedgekeurd op basis van expertoordeel;1/01/1980;1;westelijke oever vijver;10.0;Planten;Alismataceae;2/06/2026;20473;S;zeldzaam
70845164;70845164;Moerasweegbree;Baldellia ranunculoides;;8;28/08/2012;1;ter plaatse;onbekend;onbekend;onbekend;226116.63583791567;182732.35662241;5.45197510226;50.9498704027;FS7247;Genk - De Maten;Genk;Genk;Limburg;Unknown;J;Goedgekeurd op basis van expertoordeel;1/01/1980;1;;10.0;Planten;Alismataceae;2/06/2026;20473;S;zeldzaam
79682682;79682682;Moerasweegbree;Baldellia ranunculoides;2013-12-10;10;12/10/2013;1;ter plaatse;onbekend;onbekend;onbekend;216740.75822215184;186171.8384113312;5.31918883302;50.9819405975;FS6250;Zonhoven - Wijvenheide - Zuid;Zonhoven;Zonhoven;Limburg;Site;J;Goedgekeurd op basis van expertoordeel;1/01/1980;1;;10.0;Planten;Alismataceae;2/06/2026;20473;S;zeldzaam
70845161;70845161;Moerasweegbree;Baldellia ranunculoides;;8;28/08/2012;1;ter plaatse;onbekend;onbekend;onbekend;226135.60921132084;182749.74156915583;5.45224868758;50.9500241736;FS7247;Genk - De Maten;Genk;Genk;Limburg;Unknown;J;Goedgekeurd op basis van expertoordeel;1/01/1980;1;;10.0;Planten;Alismataceae;2/06/2026;20473;S;zeldzaam
141021107;141021107;Moerasweegbree;Baldellia ranunculoides;2017-01-07;7;1/07/2017;1;ter plaatse;onbekend;onbekend;onbekend;221515.4209604713;186307.49885701668;5.38720161581396;50.9825905484247;FS6750;Zonhoven - Welleke;Zonhoven;Zonhoven;Limburg;ObsMapp;J;Goedgekeurd op basis van expertoordeel;1/01/2007;1;;25.0;Planten;Alismataceae;2/06/2026;20473;S;zeldzaam
141021102;141021102;Moerasweegbree;Baldellia ranunculoides;2017-01-07;7;1/07/2017;1;ter plaatse;onbekend;onbekend;onbekend;221535.2951151104;186290.347234115;5.38748125396647;50.9824339321583;FS6750;Zonhoven - Welleke;Zonhoven;Zonhoven;Limburg;ObsMapp;J;Goedgekeurd op basis van expertoordeel;1/01/2007;1;;25.0;Planten;Alismataceae;2/06/2026;20473;S;zeldzaam
132912445;132912445;Moerasweegbree;Baldellia ranunculoides;;8;17/12/2016;1;ter plaatse;onbekend;onbekend;onbekend;184636.81724075504;191138.62515247613;4.86249705;51.02939458;FS3054;Herselt - Langdonken;Herselt;Herselt;Antwerpen;ObsMapp;J;Goedgekeurd op basis van kennisregels - nabijheid;1/01/2007;1;;25.0;Planten;Alismataceae;2/06/2026;20473;S;zeldzaam
