wn_id;unieke_id;naam_nl;naam_lat;datum;maand;invoerdatum;aantal;gedrag;methode;kleed;geslacht;x;y;lon;lat;utm1;gebied;gemeente;deelgemeente;provincie;typewaarneming;zeker;status;embargo_datum;toestemming_wnr;bijzonderheden;precisie;soortgroep;familie;aanleverdatum;id_species;id_species_type;zeldzaamheid
48284714;48284714;Noordse witsnuitlibel;Leucorrhinia rubicunda;;5;29/05/2010;1;ter plaatse;onbekend;imago;Man;174836.44078034238;224627.84346466415;4.72509205341;51.330913301;FS2088;Rijkevorsel - De Volharding;Rijkevorsel;Rijkevorsel;Antwerpen;Site;J;Goedgekeurd op basis van expertoordeel;1/01/1980;1;;999.0;Libellen;Libellulidae;2/06/2026;646;S;zeer zeldzaam
102033486;102033486;Noordse witsnuitlibel;Leucorrhinia rubicunda;2015-10-05;5;10/05/2015;1;ter plaatse;onbekend;imago;Vrouw;165220.10930207383;226923.75839558523;4.58722298965;51.3518840386;FS1090;Brecht - Groot Schietveld - Lavendelven (Strikt ontoegankelijk);Brecht;Brecht;Antwerpen;Site;J;Goedgekeurd op basis van expertoordeel;1/01/1980;1;;10.0;Libellen;Libellulidae;2/06/2026;646;S;zeer zeldzaam
191985281;191985281;Noordse witsnuitlibel;Leucorrhinia rubicunda;;5;21/05/2020;1;ter plaatse;gezien;imago;Man;224306.09931697947;190830.93703639132;5.4278576;51.022897;FS7055;Houthalen-Helchteren - Huttebeek;Houthalen-Helchteren;Houthalen;Limburg;Site;J;Goedgekeurd op basis van bewijsmateriaal;1/01/1900;1;;25.0;Libellen;Libellulidae;2/06/2026;646;S;zeer zeldzaam
191971226;191971226;Noordse witsnuitlibel;Leucorrhinia rubicunda;;5;21/05/2020;1;ter plaatse;gezien;imago;Vrouw;224344.67353339968;190722.67743692268;5.4283853;51.021919;FS7055;Houthalen - Tenhaagdoornheide;Houthalen-Helchteren;Houthalen;Limburg;Site;J;Goedgekeurd op basis van bewijsmateriaal;1/01/1900;1;;15.0;Libellen;Libellulidae;2/06/2026;646;S;zeer zeldzaam
172994715;172994715;Noordse witsnuitlibel;Leucorrhinia rubicunda;;5;24/05/2019;1;ter plaatse;gezien;imago;Man;224336.98141784695;190811.02463778012;5.428293658110761;51.02271406225794;FS7055;Houthalen-Helchteren - Huttebeek;Houthalen-Helchteren;Houthalen;Limburg;Site;J;Goedgekeurd op basis van bewijsmateriaal;1/01/1980;1;;25.0;Libellen;Libellulidae;2/06/2026;646;S;zeer zeldzaam
172995199;172995199;Noordse witsnuitlibel;Leucorrhinia rubicunda;;5;24/05/2019;2;ter plaatse;gezien;imago;Man;224632.98141954013;190975.02463875804;5.432545533633402;51.024150045519846;FS7055;Houthalen-Helchteren - Huttebeek;Houthalen-Helchteren;Houthalen;Limburg;Site;J;Goedgekeurd op basis van bewijsmateriaal;1/01/1980;1;;25.0;Libellen;Libellulidae;2/06/2026;646;S;zeer zeldzaam
244213893;244213893;Noordse witsnuitlibel;Leucorrhinia rubicunda;2022-02-06;6;4/06/2022;1;ter plaatse;gezien;imago;Man;224326.2691003037;190791.3946013227;5.428137;51.022539;FS7055;Houthalen-Helchteren - Huttebeek;Houthalen-Helchteren;Houthalen;Limburg;Site;J;Goedgekeurd op basis van bewijsmateriaal;1/01/2007;1;;25.0;Libellen;Libellulidae;2/06/2026;646;S;zeer zeldzaam
172993708;172993708;Noordse witsnuitlibel;Leucorrhinia rubicunda;;5;24/05/2019;1;ter plaatse;gezien;imago;Man;224300.981417654;190846.024637972;5.427787732136608;51.02303326568245;FS7055;Houthalen-Helchteren - Huttebeek;Houthalen-Helchteren;Houthalen;Limburg;Site;J;Goedgekeurd op basis van bewijsmateriaal;1/01/1980;1;;25.0;Libellen;Libellulidae;2/06/2026;646;S;zeer zeldzaam
193925535;193925535;Noordse witsnuitlibel;Leucorrhinia rubicunda;;6;13/06/2020;1;overvliegend;gezien;imago;Man;224205.72398561123;190742.7240521703;5.4264092;51.022117;FS7055;Houthalen-Helchteren - Huttebeek;Houthalen-Helchteren;Houthalen;Limburg;Site;J;Goedgekeurd op basis van expertoordeel;1/01/1900;1;;7.0;Libellen;Libellulidae;2/06/2026;646;S;zeer zeldzaam
269742487;269742487;Noordse witsnuitlibel;Leucorrhinia rubicunda;;4;30/04/2023;1;ter plaatse;onbekend;imago;Vrouw;158869.56850808405;227789.47707505152;4.496091365814209;51.35979843139648;FS0490;Brasschaat/Kalmthout - Klein Schietveld - Vennengebied;Kalmthout;Kalmthout;Antwerpen;ObsMapp;J;Goedgekeurd op basis van expertoordeel;1/01/1980;1;;3.0;Libellen;Libellulidae;2/06/2026;646;S;zeer zeldzaam
269742481;269742481;Noordse witsnuitlibel;Leucorrhinia rubicunda;;4;30/04/2023;1;ter plaatse;onbekend;imago;Man;158884.4500692018;227769.5546470713;4.496304512023926;51.359619140625;FS0490;Brasschaat/Kalmthout - Klein Schietveld - Vennengebied;Kalmthout;Kalmthout;Antwerpen;ObsMapp;J;Goedgekeurd op basis van expertoordeel;1/01/1980;1;;3.0;Libellen;Libellulidae;2/06/2026;646;S;zeer zeldzaam
70783239;70783239;Noordse witsnuitlibel;Leucorrhinia rubicunda;2012-02-07;7;25/08/2012;1;ter plaatse;onbekend;onbekend;onbekend;155021.39362233822;232573.1872514281;4.44091416139;51.4028401438;FS0095;Grenspark De Zoom/Kalmthoutse Heide - Keetheuvel;Kalmthout;Kalmthout;Antwerpen;Unknown;J;Goedgekeurd op basis van expertoordeel;1/01/1980;1;;100.0;Libellen;Libellulidae;2/06/2026;646;S;zeer zeldzaam
48387887;48387887;Noordse witsnuitlibel;Leucorrhinia rubicunda;2010-04-06;6;4/06/2010;5;ter plaatse;onbekend;imago;onbekend;224926.64942705177;188356.5611011861;5.43619394302;51.0005770324;FS7052;Zonhoven - Teut;Zonhoven;Zonhoven;Limburg;Site;J;Goedgekeurd op basis van expertoordeel;10/06/2023;1;;999.0;Libellen;Libellulidae;2/06/2026;646;S;zeer zeldzaam
48387824;48387824;Noordse witsnuitlibel;Leucorrhinia rubicunda;2010-04-06;6;4/06/2010;10;ter plaatse;onbekend;imago;onbekend;224728.51348442843;188412.30667958688;5.43338298798;51.0011036691;FS7052;Zonhoven - Teut;Zonhoven;Zonhoven;Limburg;Site;J;Goedgekeurd op basis van expertoordeel;10/06/2023;1;;999.0;Libellen;Libellulidae;2/06/2026;646;S;zeer zeldzaam
48228179;48228179;Noordse witsnuitlibel;Leucorrhinia rubicunda;;5;25/05/2010;1;ter plaatse;onbekend;imago;onbekend;224411.6231658132;188556.5004990017;5.4288983345;51.0024404893;FS7052;Zonhoven - Teut;Zonhoven;Zonhoven;Limburg;Site;J;Goedgekeurd op basis van expertoordeel;10/05/2023;1;;999.0;Libellen;Libellulidae;2/06/2026;646;S;zeer zeldzaam
83555043;83555043;Noordse witsnuitlibel;Leucorrhinia rubicunda;;4;20/04/2014;1;ter plaatse;onbekend;imago;Vrouw;232424.33263854045;193354.3776518358;5.54412;51.044479;FS7857;  ;Opglabbeek;Opglabbeek;Limburg;ObsMapp;J;Goedgekeurd op basis van bewijsmateriaal;1/01/2007;1;;10.0;Libellen;Libellulidae;2/06/2026;646;S;zeer zeldzaam
76704970;76704970;Noordse witsnuitlibel;Leucorrhinia rubicunda;2013-07-06;6;9/06/2013;4;ter plaatse;onbekend;imago;Man;223253.1921337099;188305.2714102073;5.412346;51.00033;FS6952;Zonhoven - Teut;Zonhoven;Zonhoven;Limburg;ObsMapp;J;Goedgekeurd op basis van expertoordeel;7/07/2021;1;;10.0;Libellen;Libellulidae;2/06/2026;646;S;zeer zeldzaam
48388007;48388007;Noordse witsnuitlibel;Leucorrhinia rubicunda;2010-04-06;6;4/06/2010;5;ter plaatse;onbekend;imago;onbekend;223259.8258494692;188304.30372605007;5.41244029999;51.0003204636;FS6952;Zonhoven - Teut;Zonhoven;Zonhoven;Limburg;Site;J;Goedgekeurd op basis van expertoordeel;10/06/2023;1;;999.0;Libellen;Libellulidae;2/06/2026;646;S;zeer zeldzaam
80590868;80590868;Noordse witsnuitlibel;Leucorrhinia rubicunda;;5;11/12/2013;1;ter plaatse;onbekend;imago;onbekend;225645.18438903213;192088.5143108377;5.44720172882;51.0340268445;FS7156;Meeuwen/Helchteren - Militair Domein (Strikt ontoegankelijk);Houthalen-Helchteren;Houthalen;Limburg;Site;J;Goedgekeurd op basis van expertoordeel;1/01/1980;1;;100.0;Libellen;Libellulidae;2/06/2026;646;S;zeer zeldzaam
54864966;54864966;Noordse witsnuitlibel;Leucorrhinia rubicunda;;5;3/06/2011;10;ter plaatse;onbekend;imago;onbekend;224952.89825214224;191790.69416657463;5.43727228234;51.0314400395;FS7056;  ;Houthalen-Helchteren;Houthalen;Limburg;Unknown;J;Goedgekeurd op basis van expertoordeel;1/01/1980;1;;100.0;Libellen;Libellulidae;2/06/2026;646;S;zeer zeldzaam
