wn_id;unieke_id;naam_nl;naam_lat;datum;maand;invoerdatum;aantal;gedrag;methode;kleed;geslacht;x;y;lon;lat;utm1;gebied;gemeente;deelgemeente;provincie;typewaarneming;zeker;status;embargo_datum;toestemming_wnr;bijzonderheden;precisie;soortgroep;familie;aanleverdatum;id_species;id_species_type;zeldzaamheid
40319096;40319096;Snortikker;Chorthippus mollis;2008-11-09;9;11/09/2008;5;ter plaatse;onbekend;imago;Man;243677.47763580448;197064.08458767735;5.705509185791;51.076108518068;FS8961;Maaseik/Dilsen - Schotsheide (LiLa) - Wateringen;Maaseik;Neeroeteren;Limburg;Site;J;Goedgekeurd op basis van expertoordeel;1/01/1980;1;;100.0;Sprinkhanen en krekels;Acrididae;2/06/2026;1907;S;algemeen
40341446;40341446;Snortikker;Chorthippus mollis;;9;14/09/2008;2;ter plaatse;onbekend;imago;Man;242482.4533306015;195587.44748518337;5.6880855560303;51.063029530138;FS8860;Maaseik/Dilsen - Schotsheide (SLL) - Bergerven/Vossenberg;Maaseik;Neeroeteren;Limburg;Site;J;Goedgekeurd op basis van expertoordeel;1/01/1980;1;;100.0;Sprinkhanen en krekels;Acrididae;2/06/2026;1907;S;algemeen
41442068;41442068;Snortikker;Chorthippus mollis;2002-08-09;9;8/01/2009;1;baltsend / zingend;onbekend;onbekend;onbekend;223866.28669977805;188644.28664685783;5.421147695755;51.00329930361;FS6952;Zonhoven - Teut;Zonhoven;Zonhoven;Limburg;Site;J;Goedgekeurd op basis van expertoordeel;1/01/1980;1;weet de exacte locatie niet meer;999.0;Sprinkhanen en krekels;Acrididae;2/06/2026;1907;S;algemeen
40240285;40240285;Snortikker;Chorthippus mollis;;8;30/08/2008;10;ter plaatse;onbekend;imago;Man;225850.89281117765;189127.08265786243;5.4495191574097;51.007382338859;FS7153;Houthalen - Tenhaagdoornheide;Houthalen-Helchteren;Houthalen;Limburg;Site;J;Goedgekeurd op basis van expertoordeel;1/01/1980;1;;100.0;Sprinkhanen en krekels;Acrididae;2/06/2026;1907;S;algemeen
225038669;225038669;Snortikker;Chorthippus mollis;2021-07-09;9;7/09/2021;1;baltsend / zingend;onbekend;onbekend;onbekend;231659.96858266348;189876.933148562;5.5324444770813;51.0133323669434;FS7754;Genk - Opglabbekerzavel;Genk;Genk;Limburg;ObsMapp;J;Goedgekeurd op basis van kennisregels - nabijheid;1/01/2007;1;;3.0;Sprinkhanen en krekels;Acrididae;2/06/2026;1907;S;algemeen
253515321;253515321;Snortikker;Chorthippus mollis;;8;28/08/2022;1;ter plaatse;onbekend;onbekend;onbekend;231009.8515669644;189315.0294552883;5.52305698394775;51.008373260498;FS7653;Genk - Opglabbekerzavel;Genk;Genk;Limburg;copied observation;J;Goedgekeurd op basis van kennisregels - nabijheid;1/01/2007;1;;3.0;Sprinkhanen en krekels;Acrididae;2/06/2026;1907;S;algemeen
224092069;224092069;Snortikker;Chorthippus mollis;;8;27/08/2021;1;baltsend / zingend;onbekend;onbekend;onbekend;231482.43885886137;189773.5637976509;5.52989196777344;51.0124282836914;FS7754;Genk - Opglabbekerzavel;Genk;Genk;Limburg;ObsMapp;J;Goedgekeurd op basis van kennisregels - nabijheid;1/01/2007;1;;2.0;Sprinkhanen en krekels;Acrididae;2/06/2026;1907;S;algemeen
253515317;253515317;Snortikker;Chorthippus mollis;;8;28/08/2022;1;ter plaatse;onbekend;onbekend;onbekend;230976.86971371603;189307.3013207512;5.52258539199829;51.0083084106445;FS7653;Genk - Opglabbekerzavel;Genk;Genk;Limburg;copied observation;J;Goedgekeurd op basis van kennisregels - nabijheid;1/01/2007;1;;4.0;Sprinkhanen en krekels;Acrididae;2/06/2026;1907;S;algemeen
224092252;224092252;Snortikker;Chorthippus mollis;;8;27/08/2021;1;ter plaatse;onbekend;imago;onbekend;231621.0016205965;189380.17178695745;5.53177833557129;51.0088729858398;FS7753;Genk - Opglabbekerzavel;Genk;Genk;Limburg;ObsMapp;J;Goedgekeurd op basis van kennisregels - nabijheid;1/01/2007;1;;2.0;Sprinkhanen en krekels;Acrididae;2/06/2026;1907;S;algemeen
253515243;253515243;Snortikker;Chorthippus mollis;;8;28/08/2022;1;ter plaatse;onbekend;onbekend;onbekend;231277.25965112305;189477.0812119171;5.52690267562866;51.0097923278809;FS7753;Genk - Opglabbekerzavel;Genk;Genk;Limburg;copied observation;J;Goedgekeurd op basis van kennisregels - nabijheid;1/01/2007;1;;3.0;Sprinkhanen en krekels;Acrididae;2/06/2026;1907;S;algemeen
