wn_id;unieke_id;naam_nl;naam_lat;datum;maand;invoerdatum;aantal;gedrag;methode;kleed;geslacht;x;y;lon;lat;utm1;gebied;gemeente;deelgemeente;provincie;typewaarneming;zeker;status;embargo_datum;toestemming_wnr;bijzonderheden;precisie;soortgroep;familie;aanleverdatum;id_species;id_species_type;zeldzaamheid
141079997;141079997;Veenpluis;Eriophorum angustifolium;2017-02-07;7;2/07/2017;1;ter plaatse;onbekend;onbekend;onbekend;154736.87723471166;232673.42608878572;4.43682717993275;51.4037434979581;ES9995;Grenspark De Zoom/Kalmthoutse Heide - Drielingvennen - Omgeving Keetheuvel;Kalmthout;Kalmthout;Antwerpen;ObsMapp;J;Goedgekeurd op basis van kennisregels - nabijheid;1/01/2007;1;;25.0;Planten;Cyperaceae;2/06/2026;6756;S;vrij algemeen
139030585;139030585;Veenpluis;Eriophorum angustifolium;;5;26/05/2017;1;ter plaatse;onbekend;onbekend;onbekend;225993.8848233247;182935.4670214029;5.45027059543187;50.9517121106532;FS7247;Genk - De Maten - De Maten-Centraal (Ontoegankelijk);Genk;Genk;Limburg;copied observation;J;Goedgekeurd op basis van kennisregels - nabijheid;1/01/2007;1;;25.0;Planten;Cyperaceae;2/06/2026;6756;S;vrij algemeen
122098176;122098176;Veenpluis;Eriophorum angustifolium;2016-02-08;8;3/08/2016;1;ter plaatse;onbekend;onbekend;onbekend;224690.98939425504;185373.00140163023;5.4322279564603;50.973790588448;FS7049;Genk - Klotbroek;Genk;Genk;Limburg;copied observation;J;Goedgekeurd op basis van kennisregels - nabijheid;1/01/2007;1;;25.0;Planten;Cyperaceae;2/06/2026;6756;S;vrij algemeen
242486822;242486822;Veenpluis;Eriophorum angustifolium;;5;22/05/2022;1;ter plaatse;onbekend;onbekend;onbekend;154682.53136540274;232555.7892652797;4.436044702747755;51.40268666353183;ES9995;Grenspark Kalmthoutse Heide - Drielingvennen;Kalmthout;Kalmthout;Antwerpen;ObsIdentify;J;Goedgekeurd op basis van bewijsmateriaal;1/01/1980;1;;9.0;Planten;Cyperaceae;2/06/2026;6756;S;vrij algemeen
326169932;326169932;Veenpluis;Eriophorum angustifolium;;8;29/08/2024;1;ter plaatse;onbekend;onbekend;onbekend;154676.4884540896;232677.2178137647;4.435959465437949;51.40377807617188;ES9995;Grenspark Kalmthoutse Heide - Drielingvennen;Kalmthout;Kalmthout;Antwerpen;ObsIdentify;J;Goedgekeurd op basis van bewijsmateriaal;1/01/1980;1;;8.0;Planten;Cyperaceae;2/06/2026;6756;S;vrij algemeen
48924297;48924297;Veenpluis;Eriophorum angustifolium;2010-10-07;7;10/07/2010;10;ter plaatse;onbekend;onbekend;onbekend;174380.44327308773;224671.54057303444;4.71855282784;51.331325571;FS1988;Rijkevorsel - De Volharding;Rijkevorsel;Rijkevorsel;Antwerpen;Site;J;Goedgekeurd op basis van kennisregels - nabijheid;1/01/1980;1;;999.0;Planten;Cyperaceae;2/06/2026;6756;S;vrij algemeen
108082526;108082526;Veenpluis;Eriophorum angustifolium;2015-10-09;9;10/09/2015;1;ter plaatse;onbekend;onbekend;onbekend;168115.2109487978;222230.5345914885;4.62854158133;51.309617596;FS1385;Brecht - Marbelenven;Brecht;Brecht;Antwerpen;Site;J;Goedgekeurd op basis van kennisregels - nabijheid;1/01/1980;1;;10.0;Planten;Cyperaceae;2/06/2026;6756;S;vrij algemeen
136862769;136862769;Veenpluis;Eriophorum angustifolium;;4;16/04/2017;1;ter plaatse;onbekend;onbekend;onbekend;181358.1324275284;224388.434828192;4.8186371;51.32844277;FS2687;Beerse - Abtsheide;Beerse;Beerse;Antwerpen;ObsMapp;J;Goedgekeurd op basis van kennisregels - nabijheid;1/01/2007;1;;25.0;Planten;Cyperaceae;2/06/2026;6756;S;vrij algemeen
140795636;140795636;Veenpluis;Eriophorum angustifolium;;6;25/06/2017;1;ter plaatse;onbekend;onbekend;onbekend;166529.4945548677;229597.1329922434;4.60614032;51.3758756;FS1192;Brecht - Groot Schietveld (Strikt ontoegankelijk);Wuustwezel;Wuustwezel;Antwerpen;ObsMapp;J;Goedgekeurd op basis van kennisregels - nabijheid;1/01/2007;1;;25.0;Planten;Cyperaceae;2/06/2026;6756;S;vrij algemeen
77428134;77428134;Veenpluis;Eriophorum angustifolium;2013-08-07;7;9/07/2013;10;ter plaatse;onbekend;onbekend;onbekend;168107.49848649508;222223.05734039936;4.6284306049347;51.309550633502;FS1385;Brecht - Marbelenven;Brecht;Brecht;Antwerpen;Site;J;Goedgekeurd op basis van kennisregels - nabijheid;1/01/1980;1;;10.0;Planten;Cyperaceae;2/06/2026;6756;S;vrij algemeen
