wn_id;unieke_id;naam_nl;naam_lat;datum;maand;invoerdatum;aantal;gedrag;methode;kleed;geslacht;x;y;lon;lat;utm1;gebied;gemeente;deelgemeente;provincie;typewaarneming;zeker;status;embargo_datum;toestemming_wnr;bijzonderheden;precisie;soortgroep;familie;aanleverdatum;id_species;id_species_type;zeldzaamheid
161222980;161222980;Wekkertje;Omocestus viridulus;2018-12-08;8;12/08/2018;1;baltsend / zingend;onbekend;onbekend;onbekend;224216.71411531963;190140.8310320117;5.42644355;51.0167057;FS7054;Houthalen - Tenhaagdoornheide;Houthalen-Helchteren;Houthalen;Limburg;ObsMapp;J;Goedgekeurd op basis van kennisregels - nabijheid;1/01/2007;1;;25.0;Sprinkhanen en krekels;Acrididae;2/06/2026;1916;S;vrij algemeen
361094036;361094036;Wekkertje;Omocestus viridulus;2025-05-07;7;5/07/2025;2;baltsend / zingend;onbekend;onbekend;onbekend;227633.3466056328;184143.887683698;5.473855495452881;50.96235656738281;FS7348;Genk - Stiemerbeekvallei;Genk;Genk;Limburg;ObsMapp;J;Goedgekeurd op basis van kennisregels - nabijheid;1/01/1980;1;;3.0;Sprinkhanen en krekels;Acrididae;2/06/2026;1916;S;vrij algemeen
49212856;49212856;Wekkertje;Omocestus viridulus;;7;29/07/2010;1;ter plaatse;onbekend;imago;onbekend;232155.0875697712;189937.7134486912;5.53951263428;51.0138086561;FS7854;As - Klaverberg en terril Waterschei;As;As;Limburg;Site;J;Goedgekeurd op basis van kennisregels - nabijheid;1/01/1980;1;;999.0;Sprinkhanen en krekels;Acrididae;2/06/2026;1916;S;vrij algemeen
78078398;78078398;Wekkertje;Omocestus viridulus;2013-02-08;8;3/08/2013;1;baltsend / zingend;onbekend;imago;Man;216539.81448806447;185250.2426004652;5.31616;50.97368;FS6249;Kuringen - Kolberg - Zonderik;Hasselt;Kuringen;Limburg;ObsMapp;J;Goedgekeurd op basis van bewijsmateriaal;1/01/2007;1;of negertje;10.0;Sprinkhanen en krekels;Acrididae;2/06/2026;1916;S;vrij algemeen
77929738;77929738;Wekkertje;Omocestus viridulus;;7;28/07/2013;1;ter plaatse;onbekend;onbekend;onbekend;232068.3385915284;189698.95459663772;5.538223;51.011675;FS7854;As - Klaverberg en terril Waterschei;As;As;Limburg;ObsMapp;J;Goedgekeurd op basis van kennisregels - nabijheid;1/01/2007;1;;10.0;Sprinkhanen en krekels;Acrididae;2/06/2026;1916;S;vrij algemeen
49231366;49231366;Wekkertje;Omocestus viridulus;;7;30/07/2010;1;baltsend / zingend;onbekend;imago;onbekend;232179.6513846653;189908.06132525764;5.53985595703;51.0135386607;FS7854;As - Klaverberg en terril Waterschei;As;As;Limburg;Site;J;Goedgekeurd op basis van kennisregels - nabijheid;1/01/1980;1;;999.0;Sprinkhanen en krekels;Acrididae;2/06/2026;1916;S;vrij algemeen
49355973;49355973;Wekkertje;Omocestus viridulus;2010-06-08;8;6/08/2010;1;ter plaatse;onbekend;onbekend;onbekend;232641.9530490492;190005.4969367059;5.54646492004;51.0143486423;FS7854;As - Klaverberg en terril Waterschei;As;As;Limburg;Site;J;Goedgekeurd op basis van kennisregels - nabijheid;1/01/1980;1;;999.0;Sprinkhanen en krekels;Acrididae;2/06/2026;1916;S;vrij algemeen
193923755;193923755;Wekkertje;Omocestus viridulus;2020-12-06;6;13/06/2020;1;ter plaatse;gezien;imago;Vrouw;224492.42708246023;190851.957542954;5.4305173;51.023062;FS7055;Houthalen-Helchteren - Huttebeek;Houthalen-Helchteren;Houthalen;Limburg;Site;J;Goedgekeurd op basis van bewijsmateriaal;1/01/1900;1;;5.0;Sprinkhanen en krekels;Acrididae;2/06/2026;1916;S;vrij algemeen
287715156;287715156;Wekkertje;Omocestus viridulus;2023-12-09;9;12/09/2023;1;ter plaatse;onbekend;onbekend;Man;224464.1605739481;190036.86029543355;5.429948329925537;51.01573944091797;FS7054;Houthalen - Tenhaagdoornheide;Houthalen-Helchteren;Houthalen;Limburg;ObsMapp;J;Goedgekeurd op basis van kennisregels - nabijheid;1/01/1980;1;;4.0;Sprinkhanen en krekels;Acrididae;2/06/2026;1916;S;vrij algemeen
54080270;54080270;Wekkertje;Omocestus viridulus;1991-04-08;8;4/05/2011;1;ter plaatse;onbekend;onbekend;Man;240205.8696472245;209018.84553688575;5.65894580479;51.1841016499;FS8573;Bree - De Luysen-Mariahof - Grote Mariahofvijver;Bree;Beek;Limburg;Site;J;Goedgekeurd op basis van expertoordeel;1/01/1980;1;51053_Bijzonderheden locatie: STRAMPROY;25.0;Sprinkhanen en krekels;Acrididae;2/06/2026;1916;S;vrij algemeen
48981261;48981261;Wekkertje;Omocestus viridulus;;7;14/07/2010;1;baltsend / zingend;onbekend;onbekend;onbekend;168427.49675778445;230028.29420427885;4.6334195137;51.3796929429;FS1393;Brecht - Groot Schietveld (Strikt ontoegankelijk);Wuustwezel;Loenhout;Antwerpen;Site;J;Goedgekeurd op basis van kennisregels - nabijheid;1/01/1980;1;;999.0;Sprinkhanen en krekels;Acrididae;2/06/2026;1916;S;vrij algemeen
48994732;48994732;Wekkertje;Omocestus viridulus;;7;15/07/2010;1;baltsend / zingend;onbekend;onbekend;onbekend;168202.27841905833;229919.8308922276;4.63017940521;51.3787252923;FS1393;Brecht - Groot Schietveld (Strikt ontoegankelijk);Wuustwezel;Loenhout;Antwerpen;Site;J;Goedgekeurd op basis van kennisregels - nabijheid;1/01/1980;1;;999.0;Sprinkhanen en krekels;Acrididae;2/06/2026;1916;S;vrij algemeen
48994715;48994715;Wekkertje;Omocestus viridulus;;7;15/07/2010;1;ter plaatse;onbekend;onbekend;onbekend;168329.7159923819;230005.96615995187;4.63201403618;51.3794953965;FS1393;Brecht - Groot Schietveld (Strikt ontoegankelijk);Wuustwezel;Loenhout;Antwerpen;Site;J;Goedgekeurd op basis van kennisregels - nabijheid;1/01/1980;1;;999.0;Sprinkhanen en krekels;Acrididae;2/06/2026;1916;S;vrij algemeen
48994700;48994700;Wekkertje;Omocestus viridulus;;7;15/07/2010;1;baltsend / zingend;onbekend;onbekend;onbekend;168221.285218967;230037.61981717683;4.63045835495;51.3797833452;FS1393;Brecht - Groot Schietveld (Strikt ontoegankelijk);Wuustwezel;Loenhout;Antwerpen;Site;J;Goedgekeurd op basis van kennisregels - nabijheid;1/01/1980;1;;999.0;Sprinkhanen en krekels;Acrididae;2/06/2026;1916;S;vrij algemeen
48994707;48994707;Wekkertje;Omocestus viridulus;;7;15/07/2010;5;ter plaatse;onbekend;onbekend;onbekend;168297.69205267815;229978.2847368531;4.63155269623;51.3792476253;FS1393;Brecht - Groot Schietveld (Strikt ontoegankelijk);Wuustwezel;Loenhout;Antwerpen;Site;J;Goedgekeurd op basis van kennisregels - nabijheid;1/01/1980;1;;999.0;Sprinkhanen en krekels;Acrididae;2/06/2026;1916;S;vrij algemeen
48994685;48994685;Wekkertje;Omocestus viridulus;;7;15/07/2010;5;baltsend / zingend;onbekend;onbekend;onbekend;168505.09026997103;229847.14488451465;4.63452458382;51.3780623226;FS1393;Brecht - Groot Schietveld (Strikt ontoegankelijk);Wuustwezel;Loenhout;Antwerpen;Site;J;Goedgekeurd op basis van kennisregels - nabijheid;1/01/1980;1;;999.0;Sprinkhanen en krekels;Acrididae;2/06/2026;1916;S;vrij algemeen
48994693;48994693;Wekkertje;Omocestus viridulus;;7;15/07/2010;1;baltsend / zingend;onbekend;onbekend;onbekend;168384.72906871908;229871.3024207903;4.63279724121;51.3782833136;FS1393;Brecht - Groot Schietveld (Strikt ontoegankelijk);Wuustwezel;Loenhout;Antwerpen;Site;J;Goedgekeurd op basis van kennisregels - nabijheid;1/01/1980;1;;999.0;Sprinkhanen en krekels;Acrididae;2/06/2026;1916;S;vrij algemeen
