wn_id;unieke_id;naam_nl;naam_lat;datum;maand;invoerdatum;aantal;gedrag;methode;kleed;geslacht;x;y;lon;lat;utm1;gebied;gemeente;deelgemeente;provincie;typewaarneming;zeker;status;embargo_datum;toestemming_wnr;bijzonderheden;precisie;soortgroep;familie;aanleverdatum;id_species;id_species_type;zeldzaamheid
243514984;243514984;Wilde kamperfoelie (cultivar);Lonicera periclymenum (cultivar);;5;30/05/2022;1;ter plaatse;onbekend;onbekend;onbekend;215994.3486122755;185619.65569999252;5.308461;50.9770628;FS6249;Kuringen - Kolberg - Rode Vijvers;Hasselt;Stokrooie;Limburg;ObsIdentify;J;Goedgekeurd op basis van bewijsmateriaal;1/01/1980;1;;495.0;Planten;Caprifoliaceae;2/06/2026;7001;V;vrij algemeen
242965151;242965151;Wilde kamperfoelie (cultivar);Lonicera periclymenum (cultivar);2022-05-26;5;2022-05-26;1;ter plaatse;onbekend;onbekend;onbekend;227468.74217116463;219113.645110908;5.478959606078508;51.27667697512989;FS7283;  ;Hamont-Achel;Achel;Limburg;ObsIdentify;J;Goedgekeurd op basis van bewijsmateriaal;1980-01-01;3;;8;Planten;Caprifoliaceae;2026-06-02;7001;V;vrij algemeen
247996212;247996212;Wilde kamperfoelie (cultivar);Lonicera periclymenum (cultivar);2022-05-19;5;2022-07-05;1;ter plaatse;onbekend;onbekend;onbekend;156118.40456091272;210544.3101211321;4.4563014;51.2048322;FS0173;  ;Antwerpen;Deurne;Antwerpen;ObsIdentify;J;Goedgekeurd op basis van bewijsmateriaal;1980-01-01;3;;4;Planten;Caprifoliaceae;2026-06-02;7001;V;vrij algemeen
325392604;325392604;Wilde kamperfoelie (cultivar);Lonicera periclymenum (cultivar);2024-08-22;8;2024-08-22;1;ter plaatse;onbekend;onbekend;onbekend;158600.19185814538;209804.2974877525;4.491794;51.1981488;FS0472;Borsbeek - Centrum;Borsbeek;Borsbeek;Antwerpen;ObsIdentify;J;Goedgekeurd op basis van bewijsmateriaal;1980-01-01;3;;18;Planten;Caprifoliaceae;2026-06-02;7001;V;vrij algemeen
351190390;351190390;Wilde kamperfoelie (cultivar);Lonicera periclymenum (cultivar);2025-05-18;5;2025-05-18;1;ter plaatse;onbekend;onbekend;onbekend;164854.05188884574;223027.7091004057;4.5818078;51.3168762;FS1086;Sint-Job-in-'t-Goor - Dorpskern;Brecht;Brecht;Antwerpen;ObsIdentify;J;Goedgekeurd op basis van bewijsmateriaal;1980-01-01;3;;22;Planten;Caprifoliaceae;2026-06-02;7001;V;vrij algemeen
249858227;249858227;Wilde kamperfoelie (cultivar);Lonicera periclymenum (cultivar);2022-07-21;7;2022-07-21;1;ter plaatse;onbekend;onbekend;onbekend;229503.22127175308;183072.2858168744;5.5002363;50.9524715;FS7547;Genk - Kolderbos;Genk;Genk;Limburg;ObsIdentify;J;Goedgekeurd op basis van bewijsmateriaal;1980-01-01;3;;6;Planten;Caprifoliaceae;2026-06-02;7001;V;vrij algemeen
322370012;322370012;Wilde kamperfoelie (cultivar);Lonicera periclymenum (cultivar);2024-08-02;8;2024-08-02;1;ter plaatse;onbekend;onbekend;onbekend;157352.04882483714;192922.1320754625;4.473594505216568;51.046417236328125;FS0356;  ;Mechelen;Mechelen;Antwerpen;ObsIdentify;J;Goedgekeurd op basis van bewijsmateriaal;1980-01-01;3;;5;Planten;Caprifoliaceae;2026-06-02;7001;V;vrij algemeen
344949698;344949698;Wilde kamperfoelie (cultivar);Lonicera periclymenum (cultivar);2024-05-20;5;2025-04-15;1;ter plaatse;onbekend;onbekend;onbekend;155524.3274085196;205210.0217429623;4.447719279114124;51.15689086914063;FS0168;  ;Edegem;Edegem;Antwerpen;ObsIdentify;J;Goedgekeurd op basis van bewijsmateriaal;1980-01-01;3;;5;Planten;Caprifoliaceae;2026-06-02;7001;V;vrij algemeen
317114996;317114996;Wilde kamperfoelie (cultivar);Lonicera periclymenum (cultivar);2024-07-01;7;2024-07-01;1;ter plaatse;onbekend;onbekend;onbekend;159298.92097941157;186827.34739462472;4.5012009;50.9916029;FS0549;  ;Zemst;Hofstade;Vlaams-Brabant;ObsIdentify;J;Goedgekeurd op basis van bewijsmateriaal;1980-01-01;3;;40;Planten;Caprifoliaceae;2026-06-02;7001;V;vrij algemeen
273904221;273904221;Wilde kamperfoelie (cultivar);Lonicera periclymenum (cultivar);2023-05-29;5;2023-05-29;1;ter plaatse;onbekend;onbekend;onbekend;167281.47335567628;211260.78298944797;4.616060000000061;51.211045;FS1274;  ;Ranst;Oelegem;Antwerpen;Site;J;Goedgekeurd op basis van bewijsmateriaal;1980-01-01;3;;30;Planten;Caprifoliaceae;2026-06-02;7001;V;vrij algemeen
246982237;246982237;Wilde kamperfoelie (cultivar);Lonicera periclymenum (cultivar);2022-06-26;6;2022-06-26;1;ter plaatse;onbekend;onbekend;onbekend;218886.34349811196;176636.76612530556;5.347948162078184;50.89598371075997;FS6540;  ;Hasselt;Hasselt;Limburg;ObsIdentify;J;Goedgekeurd op basis van bewijsmateriaal;1980-01-01;3;;19;Planten;Caprifoliaceae;2026-06-02;7001;V;vrij algemeen
323436900;323436900;Wilde kamperfoelie (cultivar);Lonicera periclymenum (cultivar);2024-08-09;8;2024-08-09;1;ter plaatse;onbekend;onbekend;onbekend;158282.48072266986;191287.45082437992;4.4868251;51.0317105;FS0454;Mechelen - Afleidingsdijle Mechelen;Mechelen;Mechelen;Antwerpen;ObsIdentify;J;Goedgekeurd op basis van bewijsmateriaal;1980-01-01;3;;999;Planten;Caprifoliaceae;2026-06-02;7001;V;vrij algemeen
224437208;224437208;Wilde kamperfoelie (cultivar);Lonicera periclymenum (cultivar);2021-08-31;8;2021-08-31;1;ter plaatse;veldwaarneming;bloeiend;onbekend;178438.51007963228;188967.85490835924;4.77397394180298;51.0102195739746;FS2452;Begijnendijk - Papendel;Begijnendijk;Betekom;Vlaams-Brabant;ObsMapp;J;Goedgekeurd op basis van bewijsmateriaal;2007-01-01;3;;3;Planten;Caprifoliaceae;2026-06-02;7001;V;vrij algemeen
220191371;220191371;Wilde kamperfoelie (cultivar);Lonicera periclymenum (cultivar);2021-07-17;7;2021-07-17;1;ter plaatse;onbekend;onbekend;onbekend;173210.48722656225;220616.7814691793;4.7015061;51.29493;FS1883;Westmalle Centrum;Malle;Westmalle;Antwerpen;ObsIdentify;J;Goedgekeurd op basis van bewijsmateriaal;1980-01-01;3;;21;Planten;Caprifoliaceae;2026-06-02;7001;V;vrij algemeen
248303706;248303706;Wilde kamperfoelie (cultivar);Lonicera periclymenum (cultivar);2022-07-08;7;2022-07-08;1;ter plaatse;onbekend;onbekend;onbekend;171823.38884351528;216163.1757382164;4.6813514;51.2549548;FS1779;Zoerselbos;Zoersel;Zoersel;Antwerpen;ObsIdentify;J;Goedgekeurd op basis van bewijsmateriaal;1980-01-01;3;;5;Planten;Caprifoliaceae;2026-06-02;7001;V;vrij algemeen
224999594;224999594;Wilde kamperfoelie (cultivar);Lonicera periclymenum (cultivar);2021-08-15;8;2021-09-06;1;ter plaatse;onbekend;onbekend;onbekend;178436.50096684333;188968.9481752934;4.77394539972222;51.0102295;FS2452;Begijnendijk - Papendel;Begijnendijk;Betekom;Vlaams-Brabant;ObsMapp;J;Goedgekeurd op basis van bewijsmateriaal;2007-01-01;3;;999;Planten;Caprifoliaceae;2026-06-02;7001;V;vrij algemeen
223446660;223446660;Wilde kamperfoelie (cultivar);Lonicera periclymenum (cultivar);2021-08-20;8;2021-08-20;1;ter plaatse;veldwaarneming;bloeiend;onbekend;216924.2697448441;216994.6448255368;5.327473;51.258954;FS6281;Lommel - Vossemeren;Lommel;Lommel;Limburg;ObsMapp;J;Goedgekeurd op basis van bewijsmateriaal;2007-01-01;4;;999;Planten;Caprifoliaceae;2026-06-02;7001;V;vrij algemeen
246519875;246519875;Wilde kamperfoelie (cultivar);Lonicera periclymenum (cultivar);2022-06-23;6;2022-06-23;1;ter plaatse;onbekend;onbekend;onbekend;232543.6348147246;211653.68478737024;5.5499742;51.2089283;FS7876;Bocholt - Lozen - Vloeiweides eo;Bocholt;Bocholt;Limburg;ObsIdentify;J;Goedgekeurd op basis van bewijsmateriaal;1980-01-01;3;;13;Planten;Caprifoliaceae;2026-06-02;7001;V;vrij algemeen
